definition_id,branch_id,attempt,timeout_hours,decision,entry,exit,position,base_round_trip_bps,stress_round_trip_bps,funding,robustness_only,can_rescue_primary,source_definition_contract_hash,expected_entry_grid,maximum_entry_delay_minutes,exit_target,maximum_exit_delay_minutes,primary_inference_cluster,sensitivity_clusters,definition_contract_hash
kda01_v2_primary_negative_completed_failure_timeout_1h,primary_negative_completed_failure,primary,1,structural_failure_confirmation,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_1h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,False,False,5a04251f7b44ce34529500845758d41045e9d385b60d2c003867899bbe9ce825,first_5m_grid_timestamp_strictly_after_decision,10,actual_entry_ts_plus_frozen_timeout,10,market_day_cluster_id,parent_episode_id|market_6h_cluster_id,a355718de7dc2198ea4b4504a82b47121f85b828fed5d9f3ef05e071f4921c09
kda01_v2_primary_negative_completed_failure_timeout_6h,primary_negative_completed_failure,primary,6,structural_failure_confirmation,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_6h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,False,False,093ccd4f1ae843add879ef335b32b4b5d5c8a7346e912710d23bc665df38675d,first_5m_grid_timestamp_strictly_after_decision,10,actual_entry_ts_plus_frozen_timeout,10,market_day_cluster_id,parent_episode_id|market_6h_cluster_id,2b3ff24348dacd90dde82df1733177b56198a10816481eb33e65f5760a57a039
kda01_v2_primary_negative_efficient_continuation_timeout_1h,primary_negative_efficient_continuation,primary,1,parent_onset,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_1h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,False,False,c6c9420dbc494138654e935220a2d32493792cb92b6398518993b8788f65c06a,first_5m_grid_timestamp_strictly_after_decision,10,actual_entry_ts_plus_frozen_timeout,10,market_day_cluster_id,parent_episode_id|market_6h_cluster_id,b517f81dcd99ea0560487562f24c247a337ee97117e29bc789fefae35270b5e5
kda01_v2_primary_negative_efficient_continuation_timeout_6h,primary_negative_efficient_continuation,primary,6,parent_onset,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_6h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,False,False,999ea7cdee6d4ba9cf1d3961e3ad16757c60c457c6e88686f8a1a782ecf73183,first_5m_grid_timestamp_strictly_after_decision,10,actual_entry_ts_plus_frozen_timeout,10,market_day_cluster_id,parent_episode_id|market_6h_cluster_id,1df5ae9bab651309302889ae039259e288de394b6f702893f9b696d58b967e8a
kda01_v2_primary_positive_completed_failure_timeout_1h,primary_positive_completed_failure,primary,1,structural_failure_confirmation,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_1h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,False,False,147cded2b9402f4b8d6b2da1233eb62dec0916e382683d409a12e01f670f3e5e,first_5m_grid_timestamp_strictly_after_decision,10,actual_entry_ts_plus_frozen_timeout,10,market_day_cluster_id,parent_episode_id|market_6h_cluster_id,d018b79d8988a31a3f67b305f8776c1213fc640701f5ceb1eb486d5a871fc8d7
kda01_v2_primary_positive_completed_failure_timeout_6h,primary_positive_completed_failure,primary,6,structural_failure_confirmation,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_6h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,False,False,f7725f6188cb3c4bf952c2fc5c5643a953417cadcd909794224d0ba0cd66820b,first_5m_grid_timestamp_strictly_after_decision,10,actual_entry_ts_plus_frozen_timeout,10,market_day_cluster_id,parent_episode_id|market_6h_cluster_id,c27dfeca5814c54d5e6d704f1b088579b32dac5cbf1b1a9c84fd20f957acfc15
kda01_v2_primary_positive_efficient_continuation_timeout_1h,primary_positive_efficient_continuation,primary,1,parent_onset,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_1h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,False,False,d80d8723d770e6d58df0af68d6b7e614c9298ed86584e30ea86d1d95c16ddfa7,first_5m_grid_timestamp_strictly_after_decision,10,actual_entry_ts_plus_frozen_timeout,10,market_day_cluster_id,parent_episode_id|market_6h_cluster_id,9ae13f5c63c37885cb08bd88279833b27bc1fd0c656dfe60eecefde541e27b14
kda01_v2_primary_positive_efficient_continuation_timeout_6h,primary_positive_efficient_continuation,primary,6,parent_onset,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_6h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,False,False,fdd6482787ca8f812377c4f56e77fbccec98472558a9e65f27256a25e0bb35db,first_5m_grid_timestamp_strictly_after_decision,10,actual_entry_ts_plus_frozen_timeout,10,market_day_cluster_id,parent_episode_id|market_6h_cluster_id,6eadc5c268e75d31a62bf3be2ae405c7c5290fa93ec367065d87072940991952
kda01_v2_robustness_negative_completed_failure_timeout_1h,robustness_negative_completed_failure,robustness,1,structural_failure_confirmation,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_1h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,True,False,a7d4d9366e53a7ba49b38ede93b45ef3911872a256f462b00a8beac5d3f10401,first_5m_grid_timestamp_strictly_after_decision,10,actual_entry_ts_plus_frozen_timeout,10,market_day_cluster_id,parent_episode_id|market_6h_cluster_id,18bc609d423fe1013adc91ee0728c2d1238cc4b94c5199cc8011b0222a0946e5
kda01_v2_robustness_negative_completed_failure_timeout_6h,robustness_negative_completed_failure,robustness,6,structural_failure_confirmation,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_6h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,True,False,ecbf9c20c6ae3075479343f969c3b568f73dadb79a7504bcbd9972162ab620d8,first_5m_grid_timestamp_strictly_after_decision,10,actual_entry_ts_plus_frozen_timeout,10,market_day_cluster_id,parent_episode_id|market_6h_cluster_id,40ca54bd577146cd22d9bebbf4c7bcb22ffe2175790a760d84b16dd9eb800220
