score_bin,exit_class,n,pct_in_bin
"(-0.000999999999, 0.0513]",SL,2383,0.949402390438247
"(-0.000999999999, 0.0513]",TIME,96,0.03824701195219123
"(-0.000999999999, 0.0513]",TP,31,0.012350597609561753
"(0.0513, 0.0849]",SL,1037,0.8758445945945946
"(0.0513, 0.0849]",TIME,98,0.08277027027027027
"(0.0513, 0.0849]",TP,49,0.041385135135135136
"(0.0849, 0.135]",SL,978,0.7887096774193548
"(0.0849, 0.135]",TIME,179,0.1443548387096774
"(0.0849, 0.135]",TP,83,0.06693548387096775
"(0.135, 0.235]",SL,1098,0.7195281782437746
"(0.135, 0.235]",TIME,292,0.1913499344692005
"(0.135, 0.235]",TP,136,0.0891218872870249
"(0.235, 0.262]",SL,443,0.6671686746987951
"(0.235, 0.262]",TIME,139,0.20933734939759036
"(0.235, 0.262]",TP,82,0.12349397590361445
"(0.262, 0.347]",SL,932,0.6063760572543917
"(0.262, 0.347]",TIME,376,0.2446324007807417
"(0.262, 0.347]",TP,229,0.14899154196486664
"(0.347, 0.425]",SL,273,0.5492957746478874
"(0.347, 0.425]",TIME,120,0.2414486921529175
"(0.347, 0.425]",TP,104,0.20925553319919518
"(0.425, 0.54]",SL,590,0.4620203602192639
"(0.425, 0.54]",TIME,340,0.2662490211433046
"(0.425, 0.54]",TP,347,0.2717306186374315
"(0.54, 1.0]",SL,269,0.32177033492822965
"(0.54, 1.0]",TIME,218,0.2607655502392344
"(0.54, 1.0]",TP,349,0.41746411483253587
