definition_id,branch_id,attempt,parent_direction,mechanism,timeout_hours,decision,entry,maximum_entry_delay_minutes,exit,maximum_exit_delay_minutes,position,base_round_trip_bps,stress_round_trip_bps,funding,primary_inference_cluster,sensitivity_clusters,robustness_only,can_rescue_primary,payoff_archetype,intended_claim_scope,definition_contract_hash
kda03_v1_primary_negative_reference_led_catchup_timeout_1h,primary_negative_reference_led_catchup,primary,negative,reference_led_catchup,1,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_1h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,False,False,mean_reversion,directional_PF_futures_not_spread_or_arbitrage,a326c1e672c0de7fa5fd40b2d7d582b79fb37d0cb53dd55db86650fc7c7f078f
kda03_v1_primary_negative_reference_led_catchup_timeout_6h,primary_negative_reference_led_catchup,primary,negative,reference_led_catchup,6,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_6h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,False,False,mean_reversion,directional_PF_futures_not_spread_or_arbitrage,a06bcdddb07e73a442888d581aeea741f7ce13f614a3e75fc4a316f1600ad67e
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,primary_negative_basis_impulse_continuation,primary,negative,basis_impulse_continuation,1,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_1h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,False,False,symmetric_directional,directional_PF_futures_not_spread_or_arbitrage,96bd05e7a9889efd47c34247c69dc86d2b6e109cdc159bf9c28fbd01c4646968
kda03_v1_primary_negative_basis_impulse_continuation_timeout_6h,primary_negative_basis_impulse_continuation,primary,negative,basis_impulse_continuation,6,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_6h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,False,False,symmetric_directional,directional_PF_futures_not_spread_or_arbitrage,0fe79a92ad52532a25af065a55f4a7516d10486afe8f2e546e20927964cd0290
kda03_v1_primary_negative_completed_basis_impulse_rejection_timeout_1h,primary_negative_completed_basis_impulse_rejection,primary,negative,completed_basis_impulse_rejection,1,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_1h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,False,False,mean_reversion,directional_PF_futures_not_spread_or_arbitrage,e9730c0a1aaa16b2374f1e1ad520e29f83dfe0df60f2fce7b70eda250b19635f
kda03_v1_primary_negative_completed_basis_impulse_rejection_timeout_6h,primary_negative_completed_basis_impulse_rejection,primary,negative,completed_basis_impulse_rejection,6,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_6h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,False,False,mean_reversion,directional_PF_futures_not_spread_or_arbitrage,37206fe3310dde3c8a2209fcd8eb2da6e21d86f4eab723ab77ac582b4c210470
kda03_v1_primary_positive_reference_led_catchup_timeout_1h,primary_positive_reference_led_catchup,primary,positive,reference_led_catchup,1,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_1h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,False,False,mean_reversion,directional_PF_futures_not_spread_or_arbitrage,4ad493f8edb0b78b5902ca3f8481623e5baa9c699fcf35dcff39dafad2373809
kda03_v1_primary_positive_reference_led_catchup_timeout_6h,primary_positive_reference_led_catchup,primary,positive,reference_led_catchup,6,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_6h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,False,False,mean_reversion,directional_PF_futures_not_spread_or_arbitrage,87b78a97106eeeb19912d169608aa7d4ba517b5696dd3a7f4a33557f4c10ad2d
kda03_v1_primary_positive_basis_impulse_continuation_timeout_1h,primary_positive_basis_impulse_continuation,primary,positive,basis_impulse_continuation,1,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_1h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,False,False,symmetric_directional,directional_PF_futures_not_spread_or_arbitrage,a96b6f4013fc9675ead05160bd626faf9d166e5faf06bc5a428604c557405056
kda03_v1_primary_positive_basis_impulse_continuation_timeout_6h,primary_positive_basis_impulse_continuation,primary,positive,basis_impulse_continuation,6,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_6h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,False,False,symmetric_directional,directional_PF_futures_not_spread_or_arbitrage,7e2e3a2fb681901cee86d3b2562cd669598921f578b400884b7feaf9a28a8eef
kda03_v1_primary_positive_completed_basis_impulse_rejection_timeout_1h,primary_positive_completed_basis_impulse_rejection,primary,positive,completed_basis_impulse_rejection,1,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_1h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,False,False,mean_reversion,directional_PF_futures_not_spread_or_arbitrage,b9d8a4fd5b0a010b0143073b35def3753cea8c6b6aa8ec7d97d12f30b2b18dd5
kda03_v1_primary_positive_completed_basis_impulse_rejection_timeout_6h,primary_positive_completed_basis_impulse_rejection,primary,positive,completed_basis_impulse_rejection,6,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_6h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,False,False,mean_reversion,directional_PF_futures_not_spread_or_arbitrage,69f91c2fa5283ba2b9bba506e3d3b590edb224a4be3a8c0b37835ec4c0bd57e6
kda03_v1_robustness_negative_reference_led_catchup_timeout_1h,robustness_negative_reference_led_catchup,robustness,negative,reference_led_catchup,1,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_1h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,True,False,mean_reversion,directional_PF_futures_not_spread_or_arbitrage,0d00b7c085c246588d3c8a2d639e20048dbb14004bf07b61a3d0c704e15bc9c3
kda03_v1_robustness_negative_reference_led_catchup_timeout_6h,robustness_negative_reference_led_catchup,robustness,negative,reference_led_catchup,6,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_6h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,True,False,mean_reversion,directional_PF_futures_not_spread_or_arbitrage,d17b833b2471be92c2c4ebaf9db1058d269104b9f246682ff4345acf109d89d5
kda03_v1_robustness_negative_basis_impulse_continuation_timeout_1h,robustness_negative_basis_impulse_continuation,robustness,negative,basis_impulse_continuation,1,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_1h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,True,False,symmetric_directional,directional_PF_futures_not_spread_or_arbitrage,d6a5667194485a919e0589ac6e2e5d383579c0e121cb18a63a4492261d753e02
kda03_v1_robustness_negative_basis_impulse_continuation_timeout_6h,robustness_negative_basis_impulse_continuation,robustness,negative,basis_impulse_continuation,6,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_6h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,True,False,symmetric_directional,directional_PF_futures_not_spread_or_arbitrage,2145b50721700e26e245d00f474ad45478c021ad9c0f4a6989495f8dd2f9fd0c
kda03_v1_robustness_negative_completed_basis_impulse_rejection_timeout_1h,robustness_negative_completed_basis_impulse_rejection,robustness,negative,completed_basis_impulse_rejection,1,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_1h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,True,False,mean_reversion,directional_PF_futures_not_spread_or_arbitrage,b2ee19afa936e46e459fe4ff94b77a2601086e0606d857dbd2662eb6ceae8064
kda03_v1_robustness_negative_completed_basis_impulse_rejection_timeout_6h,robustness_negative_completed_basis_impulse_rejection,robustness,negative,completed_basis_impulse_rejection,6,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_6h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,True,False,mean_reversion,directional_PF_futures_not_spread_or_arbitrage,0d3ce8ef04d3db64c3de25351f7ac215e25285629a210a5ef9015aa64ef2c6a6
kda03_v1_robustness_positive_reference_led_catchup_timeout_1h,robustness_positive_reference_led_catchup,robustness,positive,reference_led_catchup,1,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_1h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,True,False,mean_reversion,directional_PF_futures_not_spread_or_arbitrage,ee04ec6b6fed583a6b9ee0a550c7a54ad9a659c45db123881b42ea7c340e577e
kda03_v1_robustness_positive_reference_led_catchup_timeout_6h,robustness_positive_reference_led_catchup,robustness,positive,reference_led_catchup,6,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_6h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,True,False,mean_reversion,directional_PF_futures_not_spread_or_arbitrage,ee7166bcb035fcf067397f86f125dc1c0e1c53f2d3374715fabc82a4c93c4695
kda03_v1_robustness_positive_basis_impulse_continuation_timeout_1h,robustness_positive_basis_impulse_continuation,robustness,positive,basis_impulse_continuation,1,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_1h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,True,False,symmetric_directional,directional_PF_futures_not_spread_or_arbitrage,1374ebd745309693a775e79fc72568d8cf34bfbafde251ae6153eb221c6f9bff
kda03_v1_robustness_positive_basis_impulse_continuation_timeout_6h,robustness_positive_basis_impulse_continuation,robustness,positive,basis_impulse_continuation,6,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_6h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,True,False,symmetric_directional,directional_PF_futures_not_spread_or_arbitrage,a3c8817ef526c05453ce61be87a3b952b2114eb6d973e1641e80341caef76443
