multiplicity_family,translation_id,attempt_id,attempt,parent_direction,mechanism,registered_before_counts,robustness_only,can_rescue_primary,feature_extension_hash,generator_hash,event_count
KDA03A,KDA03_basis_shock_v1,primary_negative_reference_led_catchup,primary,negative,reference_led_catchup,True,False,False,b0b261f65c04c5415220caa6ccef51c036a61410546a0591d6e6f5b49c337aaf,2ea2bc37df4c31ca373d890bca5b0b8f68f76001161a223ddf99c6973e0bc2f8,10044
KDA03B,KDA03_basis_shock_v1,primary_negative_basis_impulse_continuation,primary,negative,basis_impulse_continuation,True,False,False,b0b261f65c04c5415220caa6ccef51c036a61410546a0591d6e6f5b49c337aaf,2ea2bc37df4c31ca373d890bca5b0b8f68f76001161a223ddf99c6973e0bc2f8,15808
KDA03C,KDA03_basis_shock_v1,primary_negative_completed_basis_impulse_rejection,primary,negative,completed_basis_impulse_rejection,True,False,False,b0b261f65c04c5415220caa6ccef51c036a61410546a0591d6e6f5b49c337aaf,2ea2bc37df4c31ca373d890bca5b0b8f68f76001161a223ddf99c6973e0bc2f8,1964
KDA03A,KDA03_basis_shock_v1,primary_positive_reference_led_catchup,primary,positive,reference_led_catchup,True,False,False,b0b261f65c04c5415220caa6ccef51c036a61410546a0591d6e6f5b49c337aaf,2ea2bc37df4c31ca373d890bca5b0b8f68f76001161a223ddf99c6973e0bc2f8,9821
KDA03B,KDA03_basis_shock_v1,primary_positive_basis_impulse_continuation,primary,positive,basis_impulse_continuation,True,False,False,b0b261f65c04c5415220caa6ccef51c036a61410546a0591d6e6f5b49c337aaf,2ea2bc37df4c31ca373d890bca5b0b8f68f76001161a223ddf99c6973e0bc2f8,23649
KDA03C,KDA03_basis_shock_v1,primary_positive_completed_basis_impulse_rejection,primary,positive,completed_basis_impulse_rejection,True,False,False,b0b261f65c04c5415220caa6ccef51c036a61410546a0591d6e6f5b49c337aaf,2ea2bc37df4c31ca373d890bca5b0b8f68f76001161a223ddf99c6973e0bc2f8,2902
KDA03A,KDA03_basis_shock_v1,robustness_negative_reference_led_catchup,robustness,negative,reference_led_catchup,True,True,False,b0b261f65c04c5415220caa6ccef51c036a61410546a0591d6e6f5b49c337aaf,2ea2bc37df4c31ca373d890bca5b0b8f68f76001161a223ddf99c6973e0bc2f8,5168
KDA03B,KDA03_basis_shock_v1,robustness_negative_basis_impulse_continuation,robustness,negative,basis_impulse_continuation,True,True,False,b0b261f65c04c5415220caa6ccef51c036a61410546a0591d6e6f5b49c337aaf,2ea2bc37df4c31ca373d890bca5b0b8f68f76001161a223ddf99c6973e0bc2f8,10460
KDA03C,KDA03_basis_shock_v1,robustness_negative_completed_basis_impulse_rejection,robustness,negative,completed_basis_impulse_rejection,True,True,False,b0b261f65c04c5415220caa6ccef51c036a61410546a0591d6e6f5b49c337aaf,2ea2bc37df4c31ca373d890bca5b0b8f68f76001161a223ddf99c6973e0bc2f8,1203
KDA03A,KDA03_basis_shock_v1,robustness_positive_reference_led_catchup,robustness,positive,reference_led_catchup,True,True,False,b0b261f65c04c5415220caa6ccef51c036a61410546a0591d6e6f5b49c337aaf,2ea2bc37df4c31ca373d890bca5b0b8f68f76001161a223ddf99c6973e0bc2f8,8054
KDA03B,KDA03_basis_shock_v1,robustness_positive_basis_impulse_continuation,robustness,positive,basis_impulse_continuation,True,True,False,b0b261f65c04c5415220caa6ccef51c036a61410546a0591d6e6f5b49c337aaf,2ea2bc37df4c31ca373d890bca5b0b8f68f76001161a223ddf99c6973e0bc2f8,21933
KDA03C,KDA03_basis_shock_v1,robustness_positive_completed_basis_impulse_rejection,robustness,positive,completed_basis_impulse_rejection,True,True,False,b0b261f65c04c5415220caa6ccef51c036a61410546a0591d6e6f5b49c337aaf,2ea2bc37df4c31ca373d890bca5b0b8f68f76001161a223ddf99c6973e0bc2f8,2533
