attempt_id,definition_id,family_id,component_dimensions,fixed_values,status,candidate_count,killed_or_retained_for_later_review,reason,same_sample_prohibitions,source_commit,feature_hash,data_authority_hash,candidate_cohort_hash,candidate_cohort_version,reference_panel_hash
c01_primary_positive_smooth,c01_primary_positive_smooth,C01_debetaed_residual_shock_path_bifurcation,"{""path_state"": ""smooth"", ""residual_model"": ""btc_eth_ols_daily_v1"", ""sign"": ""positive""}","{""activation"": ""abs_z_gte_3"", ""estimation"": ""30_calendar_days_daily_refit"", ""shock_horizon"": ""6h""}",retained_for_generator_contract_review,33372,retained,predeclared_attempt_retained_regardless_of_count,A1_or_compression_relabel;H43_BTC_impulse_laggard_relabel;relative_strength_hard_gate;generic_large_candle_fade;RFBS_Backside_LFBS_or_failed_breakdown_recombination;prior_high_retest_session_or_failure_threshold_reuse,9949b29ead0e6d6e17543ddd955bff0234805006,c0d2955d6447f360beff528fc0985d328c2853cf9a45bf03958d2a61216470bb,b51ca71c3a9cd6425ade8255e443cc76bfc5b5882ee80c3eccfc8de11bad1a1a,159969628f8f5ff4f0eb040f6d60a6abdc935cf98a7c837706ae36d022cada36,current_roster_bar_existence_cohort,2c0cae827c6f83361ea347796d0323b20d83c3acd222c506aac40c0e97b73763
c01_primary_positive_jump_dominated,c01_primary_positive_jump_dominated,C01_debetaed_residual_shock_path_bifurcation,"{""path_state"": ""jump_dominated"", ""residual_model"": ""btc_eth_ols_daily_v1"", ""sign"": ""positive""}","{""activation"": ""abs_z_gte_3"", ""estimation"": ""30_calendar_days_daily_refit"", ""shock_horizon"": ""6h""}",retained_for_generator_contract_review,98569,retained,predeclared_attempt_retained_regardless_of_count,A1_or_compression_relabel;H43_BTC_impulse_laggard_relabel;relative_strength_hard_gate;generic_large_candle_fade;RFBS_Backside_LFBS_or_failed_breakdown_recombination;prior_high_retest_session_or_failure_threshold_reuse,9949b29ead0e6d6e17543ddd955bff0234805006,c0d2955d6447f360beff528fc0985d328c2853cf9a45bf03958d2a61216470bb,b51ca71c3a9cd6425ade8255e443cc76bfc5b5882ee80c3eccfc8de11bad1a1a,159969628f8f5ff4f0eb040f6d60a6abdc935cf98a7c837706ae36d022cada36,current_roster_bar_existence_cohort,2c0cae827c6f83361ea347796d0323b20d83c3acd222c506aac40c0e97b73763
c01_primary_positive_intermediate,c01_primary_positive_intermediate,C01_debetaed_residual_shock_path_bifurcation,"{""path_state"": ""intermediate"", ""residual_model"": ""btc_eth_ols_daily_v1"", ""sign"": ""positive""}","{""activation"": ""abs_z_gte_3"", ""estimation"": ""30_calendar_days_daily_refit"", ""shock_horizon"": ""6h""}",retained_for_generator_contract_review,373554,retained,predeclared_attempt_retained_regardless_of_count,A1_or_compression_relabel;H43_BTC_impulse_laggard_relabel;relative_strength_hard_gate;generic_large_candle_fade;RFBS_Backside_LFBS_or_failed_breakdown_recombination;prior_high_retest_session_or_failure_threshold_reuse,9949b29ead0e6d6e17543ddd955bff0234805006,c0d2955d6447f360beff528fc0985d328c2853cf9a45bf03958d2a61216470bb,b51ca71c3a9cd6425ade8255e443cc76bfc5b5882ee80c3eccfc8de11bad1a1a,159969628f8f5ff4f0eb040f6d60a6abdc935cf98a7c837706ae36d022cada36,current_roster_bar_existence_cohort,2c0cae827c6f83361ea347796d0323b20d83c3acd222c506aac40c0e97b73763
c01_primary_negative_smooth,c01_primary_negative_smooth,C01_debetaed_residual_shock_path_bifurcation,"{""path_state"": ""smooth"", ""residual_model"": ""btc_eth_ols_daily_v1"", ""sign"": ""negative""}","{""activation"": ""abs_z_gte_3"", ""estimation"": ""30_calendar_days_daily_refit"", ""shock_horizon"": ""6h""}",retained_for_generator_contract_review,24795,retained,predeclared_attempt_retained_regardless_of_count,A1_or_compression_relabel;H43_BTC_impulse_laggard_relabel;relative_strength_hard_gate;generic_large_candle_fade;RFBS_Backside_LFBS_or_failed_breakdown_recombination;prior_high_retest_session_or_failure_threshold_reuse,9949b29ead0e6d6e17543ddd955bff0234805006,c0d2955d6447f360beff528fc0985d328c2853cf9a45bf03958d2a61216470bb,b51ca71c3a9cd6425ade8255e443cc76bfc5b5882ee80c3eccfc8de11bad1a1a,159969628f8f5ff4f0eb040f6d60a6abdc935cf98a7c837706ae36d022cada36,current_roster_bar_existence_cohort,2c0cae827c6f83361ea347796d0323b20d83c3acd222c506aac40c0e97b73763
c01_primary_negative_jump_dominated,c01_primary_negative_jump_dominated,C01_debetaed_residual_shock_path_bifurcation,"{""path_state"": ""jump_dominated"", ""residual_model"": ""btc_eth_ols_daily_v1"", ""sign"": ""negative""}","{""activation"": ""abs_z_gte_3"", ""estimation"": ""30_calendar_days_daily_refit"", ""shock_horizon"": ""6h""}",retained_for_generator_contract_review,102347,retained,predeclared_attempt_retained_regardless_of_count,A1_or_compression_relabel;H43_BTC_impulse_laggard_relabel;relative_strength_hard_gate;generic_large_candle_fade;RFBS_Backside_LFBS_or_failed_breakdown_recombination;prior_high_retest_session_or_failure_threshold_reuse,9949b29ead0e6d6e17543ddd955bff0234805006,c0d2955d6447f360beff528fc0985d328c2853cf9a45bf03958d2a61216470bb,b51ca71c3a9cd6425ade8255e443cc76bfc5b5882ee80c3eccfc8de11bad1a1a,159969628f8f5ff4f0eb040f6d60a6abdc935cf98a7c837706ae36d022cada36,current_roster_bar_existence_cohort,2c0cae827c6f83361ea347796d0323b20d83c3acd222c506aac40c0e97b73763
c01_primary_negative_intermediate,c01_primary_negative_intermediate,C01_debetaed_residual_shock_path_bifurcation,"{""path_state"": ""intermediate"", ""residual_model"": ""btc_eth_ols_daily_v1"", ""sign"": ""negative""}","{""activation"": ""abs_z_gte_3"", ""estimation"": ""30_calendar_days_daily_refit"", ""shock_horizon"": ""6h""}",retained_for_generator_contract_review,271089,retained,predeclared_attempt_retained_regardless_of_count,A1_or_compression_relabel;H43_BTC_impulse_laggard_relabel;relative_strength_hard_gate;generic_large_candle_fade;RFBS_Backside_LFBS_or_failed_breakdown_recombination;prior_high_retest_session_or_failure_threshold_reuse,9949b29ead0e6d6e17543ddd955bff0234805006,c0d2955d6447f360beff528fc0985d328c2853cf9a45bf03958d2a61216470bb,b51ca71c3a9cd6425ade8255e443cc76bfc5b5882ee80c3eccfc8de11bad1a1a,159969628f8f5ff4f0eb040f6d60a6abdc935cf98a7c837706ae36d022cada36,current_roster_bar_existence_cohort,2c0cae827c6f83361ea347796d0323b20d83c3acd222c506aac40c0e97b73763
c01_robust_positive_smooth,c01_robust_positive_smooth,C01_debetaed_residual_shock_path_bifurcation,"{""path_state"": ""smooth"", ""residual_model"": ""btc_only_ols_daily_v1"", ""sign"": ""positive""}","{""activation"": ""abs_z_gte_3"", ""estimation"": ""30_calendar_days_daily_refit"", ""shock_horizon"": ""6h""}",retained_for_generator_contract_review,36547,retained,predeclared_attempt_retained_regardless_of_count,A1_or_compression_relabel;H43_BTC_impulse_laggard_relabel;relative_strength_hard_gate;generic_large_candle_fade;RFBS_Backside_LFBS_or_failed_breakdown_recombination;prior_high_retest_session_or_failure_threshold_reuse,9949b29ead0e6d6e17543ddd955bff0234805006,c0d2955d6447f360beff528fc0985d328c2853cf9a45bf03958d2a61216470bb,b51ca71c3a9cd6425ade8255e443cc76bfc5b5882ee80c3eccfc8de11bad1a1a,159969628f8f5ff4f0eb040f6d60a6abdc935cf98a7c837706ae36d022cada36,current_roster_bar_existence_cohort,2c0cae827c6f83361ea347796d0323b20d83c3acd222c506aac40c0e97b73763
c01_robust_positive_jump_dominated,c01_robust_positive_jump_dominated,C01_debetaed_residual_shock_path_bifurcation,"{""path_state"": ""jump_dominated"", ""residual_model"": ""btc_only_ols_daily_v1"", ""sign"": ""positive""}","{""activation"": ""abs_z_gte_3"", ""estimation"": ""30_calendar_days_daily_refit"", ""shock_horizon"": ""6h""}",retained_for_generator_contract_review,100108,retained,predeclared_attempt_retained_regardless_of_count,A1_or_compression_relabel;H43_BTC_impulse_laggard_relabel;relative_strength_hard_gate;generic_large_candle_fade;RFBS_Backside_LFBS_or_failed_breakdown_recombination;prior_high_retest_session_or_failure_threshold_reuse,9949b29ead0e6d6e17543ddd955bff0234805006,c0d2955d6447f360beff528fc0985d328c2853cf9a45bf03958d2a61216470bb,b51ca71c3a9cd6425ade8255e443cc76bfc5b5882ee80c3eccfc8de11bad1a1a,159969628f8f5ff4f0eb040f6d60a6abdc935cf98a7c837706ae36d022cada36,current_roster_bar_existence_cohort,2c0cae827c6f83361ea347796d0323b20d83c3acd222c506aac40c0e97b73763
c01_robust_positive_intermediate,c01_robust_positive_intermediate,C01_debetaed_residual_shock_path_bifurcation,"{""path_state"": ""intermediate"", ""residual_model"": ""btc_only_ols_daily_v1"", ""sign"": ""positive""}","{""activation"": ""abs_z_gte_3"", ""estimation"": ""30_calendar_days_daily_refit"", ""shock_horizon"": ""6h""}",retained_for_generator_contract_review,355923,retained,predeclared_attempt_retained_regardless_of_count,A1_or_compression_relabel;H43_BTC_impulse_laggard_relabel;relative_strength_hard_gate;generic_large_candle_fade;RFBS_Backside_LFBS_or_failed_breakdown_recombination;prior_high_retest_session_or_failure_threshold_reuse,9949b29ead0e6d6e17543ddd955bff0234805006,c0d2955d6447f360beff528fc0985d328c2853cf9a45bf03958d2a61216470bb,b51ca71c3a9cd6425ade8255e443cc76bfc5b5882ee80c3eccfc8de11bad1a1a,159969628f8f5ff4f0eb040f6d60a6abdc935cf98a7c837706ae36d022cada36,current_roster_bar_existence_cohort,2c0cae827c6f83361ea347796d0323b20d83c3acd222c506aac40c0e97b73763
c01_robust_negative_smooth,c01_robust_negative_smooth,C01_debetaed_residual_shock_path_bifurcation,"{""path_state"": ""smooth"", ""residual_model"": ""btc_only_ols_daily_v1"", ""sign"": ""negative""}","{""activation"": ""abs_z_gte_3"", ""estimation"": ""30_calendar_days_daily_refit"", ""shock_horizon"": ""6h""}",retained_for_generator_contract_review,28946,retained,predeclared_attempt_retained_regardless_of_count,A1_or_compression_relabel;H43_BTC_impulse_laggard_relabel;relative_strength_hard_gate;generic_large_candle_fade;RFBS_Backside_LFBS_or_failed_breakdown_recombination;prior_high_retest_session_or_failure_threshold_reuse,9949b29ead0e6d6e17543ddd955bff0234805006,c0d2955d6447f360beff528fc0985d328c2853cf9a45bf03958d2a61216470bb,b51ca71c3a9cd6425ade8255e443cc76bfc5b5882ee80c3eccfc8de11bad1a1a,159969628f8f5ff4f0eb040f6d60a6abdc935cf98a7c837706ae36d022cada36,current_roster_bar_existence_cohort,2c0cae827c6f83361ea347796d0323b20d83c3acd222c506aac40c0e97b73763
