family,stage,attempts,definitions,decision
C01,foundation_generator,12,0,frozen attempt register retained
C01,level3_economic,16,16,level3_no_primary_pass_stop
C02,resolution_aware_generator,2,0,positive resolved spot-led only advanced
C02,level3_economic,4,4,level3_no_primary_pass_stop
C03,PIT_authority,1,0,C03_PIT_authority_unavailable
prior14,historical_program,not fully recoverable,not pooled,preserve external registry and multiplicity limitation
C16,official_flow_authority,1,0,C16_flow_authority_unavailable
KDA01,derivatives_state_foundation_and_level3,16,16,KDA01_level3_repaired_no_primary_pass_stop
KDA02A,purge_adjudication_and_level3,9,8,KDA02_level3_no_primary_pass_stop
KDA02B,inactive_oi_vacuum_lineage,1,0,candidate_library_only_outcomes_unopened
KDA02C,post_hoc_context_registration,1,0,post_hoc_context_hypothesis_no_evidence
KDA03,basis_shock_adjudication_level3_and_stage12_closure,3,24,KDA03_level3_routes_assigned; 12 primary routes and 12 robustness diagnostics preserved; no new attempt
