capability_id,mechanism,requirement,status,verified_path_or_artifact,test_or_inspection,authority_level,protected_data_risk,same_sample_reuse_risk,blocking,smallest_remedy,permitted_next_action
REPO_001,repository,clean governed main and archive convention,ready,AGENTS.md; docs/agent/REPOSITORY_MAP.md; user-authorized commit 992e7928d0dd948c0bb3f3fc3c74b1095648df1b,git identity plus archive-manifest validation,repository governance,low,low,false,none,archive-only readiness reporting
PKG_001,external review,release-ready package,blocked,results/rebaseline/phase_kraken_all_tested_hypotheses_external_review_package_20260716_v1/decision_summary.json,metadata-only status inspection,finalized package manifest,low,low,true,repair disclosed package protocol gaps,no release claim
FIREWALL_001,input boundary,pre-2023 rows rejected before rankable downstream use,ready,tools/run_kraken_family_engine_aggregate_first_sweep.py:4080-4200; unit_tests/test_rankable_loader_boundary.py,synthetic market and funding downstream spies,machine code,high,low,false,none at loader contract; bind real file authority in Stage 2A,Stage_2A_U2_and_common_feature_foundation
FIREWALL_002,input boundary,2026+ and mixed files rejected before read,ready,tools/run_kraken_family_engine_aggregate_first_sweep.py:4083-4106; unit_tests/test_rankable_loader_boundary.py,protected mixed calibration prospective external and unknown reader spies,machine code,critical,low,false,none at loader contract,Stage_2A_U2_and_common_feature_foundation
FIREWALL_003,venue boundary,non-Kraken rows rejected before rankable processing,ready,tools/run_kraken_family_engine_aggregate_first_sweep.py:4109-4115; unit_tests/test_rankable_loader_boundary.py,synthetic non-Kraken downstream spy,machine code,high,low,false,none at loader contract,Stage_2A_U2_and_common_feature_foundation
FIREWALL_004,funding boundary,funding partitioned before protected rows enter memory,ready,tools/run_kraken_family_engine_aggregate_first_sweep.py:4136-4156; unit_tests/test_rankable_loader_boundary.py,funding reader/downstream spies including imputed exclusion,machine code,critical,low,false,bind exact funding file authority before any real rankable run,Stage_2A_U2_and_common_feature_foundation
FIREWALL_005,capture boundary,capture and protected manifests are bound and rejected before payload reads,ready,tools/run_kraken_family_engine_aggregate_first_sweep.py data_paths and assert_rankable_file_authority,synthetic manifest fixture plus metadata-only 166408-path binding and reader spies,machine code,critical,low,false,none,U2 lifecycle authority preflight
DOF_001,C01 multiplicity,complete attempt and effective-trial registry,partial,family-local effective-trial count artifacts exist; no central immutable C01 attempt registry found,repository filename and source scan,current authority,low,high,true,register C01 family and all attempted dimensions before generator work,Stage_2A_U2_and_common_feature_foundation
EPISODE_001,cross-family identity,canonical tested episode ID,missing,transferred rev8 authority states canonical cross-family episode identity is missing,authority and repository source scan,current authority,low,high,true,canonical outcome-free episode identity contract and fixtures,Stage_2A_U2_and_common_feature_foundation
U2_001,U2 universe,official continuous eligibility across intended interval,blocked,received/authority/05_REGISTRY_Kraken_Data_and_Evidence_Capability_2026-07-16.csv,authority metadata only,current authority,medium,low,true,outcome-free lifecycle authority task after firewall,no cohort claim
U2_002,U2 universe,candidate symbol eligibility inventory,blocked,no official lifecycle-backed continuous candidate can be listed from current authority,metadata-only authority review; no current instrument payload opened,current task,medium,low,true,official outcome-free continuous-eligibility inventory,Stage_2A_U2_and_common_feature_foundation
C01_001,C01,causal BTC residual feature,partial,existing H43 code is only a nearby prior,nearby implementation exists but is not accepted as a frozen C01 contract,current task,high,high,true,fixture-verified C01-specific causal feature contract,Stage_2A_U2_and_common_feature_foundation
C01_002,C01,causal BTC plus ETH residual feature,missing,none,no accepted C01-specific implementation found,current task,high,high,true,frozen multivariate residual fixture,Stage_2A_U2_and_common_feature_foundation
C01_003,C01,fixed rolling estimation window support,partial,existing rolling-feature code paths,nearby implementation exists but is not accepted as a frozen C01 contract,current task,medium,high,true,causal boundary fixtures,Stage_2A_U2_and_common_feature_foundation
C01_004,C01,path-efficiency measure,partial,existing A1 path-smoothness is same-sample prior only,nearby implementation exists but is not accepted as a frozen C01 contract,current task,medium,high,true,new registered generic feature contract,Stage_2A_U2_and_common_feature_foundation
C01_005,C01,jump or largest-bar contribution measure,missing,none,no accepted C01-specific implementation found,current task,medium,high,true,causal largest-bar fixture,Stage_2A_U2_and_common_feature_foundation
C01_006,C01,parent-market state,partial,tools/qlmg_regime_stack.py,generic infrastructure exists; C01-specific causal fixture not frozen,machine code,medium,high,true,PIT fixture under new input firewall,Stage_2A_U2_and_common_feature_foundation
C01_007,C01,realized-volatility state,partial,existing family feature code,generic infrastructure exists; C01-specific causal fixture not frozen,machine code,medium,high,true,shared causal volatility fixture,Stage_2A_U2_and_common_feature_foundation
C01_008,C01,causal feature hashing,partial,tools/qlmg_evidence_contracts.py,generic infrastructure exists; C01-specific causal fixture not frozen,machine code,low,medium,true,feature-contract hash fixture,Stage_2A_U2_and_common_feature_foundation
C01_009,C01,candidate identity freeze,partial,tools/qlmg_evidence_contracts.py,generic infrastructure exists; C01-specific causal fixture not frozen,machine code,low,medium,true,C01 identity fixture,Stage_2A_U2_and_common_feature_foundation
C01_010,C01,canonical episode identity,missing,none,no accepted C01-specific implementation found,current task,low,high,true,cross-family episode contract,Stage_2A_U2_and_common_feature_foundation
C01_011,C01,control-generation harness,partial,tools/qlmg_real_controls.py,generic infrastructure exists; C01-specific causal fixture not frozen,machine code,medium,high,true,C01-specific pre-outcome control fixture,Stage_2A_U2_and_common_feature_foundation
C01_012,C01,attempt and multiplicity registration,missing,none,no accepted C01-specific implementation found,current task,low,high,true,central immutable C01 trial record,Stage_2A_U2_and_common_feature_foundation
C01_013,C01,year symbol sign and path candidate counts without returns,partial,existing reporting utilities,generic infrastructure exists; C01-specific causal fixture not frozen,machine code,low,medium,true,count-only fixture,Stage_2A_U2_and_common_feature_foundation
C01_014,C01,trade and mark separation,partial,tools/run_kraken_family_engine_aggregate_first_sweep.py:4111,generic infrastructure exists; C01-specific causal fixture not frozen,machine code,high,medium,true,reverify under input firewall,Stage_2A_U2_and_common_feature_foundation
C01_015,C01,next executable bar all-taker support,partial,existing family runners,generic infrastructure exists; C01-specific causal fixture not frozen,machine code,medium,medium,true,shared execution fixture,Stage_2A_U2_and_common_feature_foundation
C02_001,C02,official public Kraken spot or index history 2023-2025,blocked,received/authority/05_REGISTRY_Kraken_Data_and_Evidence_Capability_2026-07-16.csv,authority metadata only,current authority,medium,low,true,outcome-free BTC ETH and U2 spot/reference acquisition task after firewall,no C02 generator
C02_002,C02,synchronization and symbol identity infrastructure,partial,existing Kraken path and alias utilities,generic path and alias utilities exist; no spot-perp map or acquired spot panel,machine code,medium,medium,true,spot-perp identity fixtures after acquisition,defer acquisition until separately authorized after Stage 2A
C03_001,C03,verified PIT cohort membership,blocked,received/authority/05_REGISTRY_Kraken_Data_and_Evidence_Capability_2026-07-16.csv,authority metadata only,current authority,medium,high,true,official lifecycle-backed cohort manifest,no continuous cohort claim
C03_002,C03,breadth and dispersion context,partial_but_blocked,existing context utilities plus current-roster cap,generic context utilities exist; PIT cohort authority remains missing,current authority,medium,high,true,freeze context on verified U2 tape after firewall,Stage_2A_U2_and_common_feature_foundation
FIREWALL_006,input authority,current historical files have per-file rankable authority binding,ready,tools/run_kraken_family_engine_aggregate_first_sweep.py rankable_file_authority_from_manifests,166408 existing trade/mark paths resolved from existing download manifests; no payload opened,machine code,critical,low,false,none,U2 lifecycle authority preflight
FIREWALL_007,input boundary,all known active sibling rankable readers enforce the pre-read authority contract,ready,tools/run_kraken_family_engine_aggregate_first_sweep.py load_symbol_signal_bars load_symbol_rank_close_window a1_load_symbol_bars_window,11 focused tests plus AST call-order inspection,machine code,critical,low,false,none,U2 lifecycle authority preflight
