attempt_id,residual_model,sign,path_state,frozen_role,frozen_direction,onset_event_count,retained
c01_primary_positive_smooth,btc_eth_ols_daily_v1,positive,smooth,primary_economic_prior,long_continuation,840,True
c01_primary_positive_jump_dominated,btc_eth_ols_daily_v1,positive,jump_dominated,failure_branch,short_after_completed_failure,441,True
c01_primary_positive_intermediate,btc_eth_ols_daily_v1,positive,intermediate,diagnostic_control_only,none,9419,True
c01_primary_negative_smooth,btc_eth_ols_daily_v1,negative,smooth,secondary_symmetric_diagnostic,short_continuation,581,True
c01_primary_negative_jump_dominated,btc_eth_ols_daily_v1,negative,jump_dominated,failure_branch,long_after_completed_failure,426,True
c01_primary_negative_intermediate,btc_eth_ols_daily_v1,negative,intermediate,diagnostic_control_only,none,7569,True
c01_robust_positive_smooth,btc_only_ols_daily_v1,positive,smooth,robustness_only,long_continuation,963,True
c01_robust_positive_jump_dominated,btc_only_ols_daily_v1,positive,jump_dominated,failure_branch,short_after_completed_failure,456,True
c01_robust_positive_intermediate,btc_only_ols_daily_v1,positive,intermediate,diagnostic_control_only,none,8958,True
c01_robust_negative_smooth,btc_only_ols_daily_v1,negative,smooth,secondary_symmetric_diagnostic,short_continuation,714,True
c01_robust_negative_jump_dominated,btc_only_ols_daily_v1,negative,jump_dominated,failure_branch,long_after_completed_failure,466,True
c01_robust_negative_intermediate,btc_only_ols_daily_v1,negative,intermediate,diagnostic_control_only,none,7514,True
