definition_id,branch_id,attempt,parent_direction,mechanism,timeout_hours,decision,entry,maximum_entry_delay_minutes,exit,maximum_exit_delay_minutes,position,base_round_trip_bps,stress_round_trip_bps,funding,primary_inference_cluster,sensitivity_clusters,robustness_only,can_rescue_primary,payoff_archetype,intended_claim_scope,definition_contract_hash,candidate_count,accepted_count,trades_2023,trades_2024,trades_2025,symbols,market_day_clusters,trade_gross_mean_bps,trade_base_mean_bps,trade_stress_mean_bps,equal_day_gross_mean_bps,equal_day_gross_median_bps,equal_day_base_mean_bps,equal_day_base_median_bps,equal_day_stress_mean_bps,equal_day_stress_median_bps,bootstrap_lower_bps,bootstrap_upper_bps,market_day_positive_share,symbol_positive_share,year_positive_share,estimand_sign_dependence,context_sign_dependence,material_estimand_or_context_dependence,single_event_or_defect_explanation,policy_route
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,primary_negative_basis_impulse_continuation,primary,negative,basis_impulse_continuation,1,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_1h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,False,False,symmetric_directional,directional_PF_futures_not_spread_or_arbitrage,96bd05e7a9889efd47c34247c69dc86d2b6e109cdc159bf9c28fbd01c4646968,15808,15808,1199,6271,8338,55,966,-2.0310493886870042,-16.031049388687002,-34.031049388687,-5.214777275853087,-7.052500119816102,-19.214777275853088,-21.052500119816102,-37.21477727585309,-39.0525001198161,-21.790995009347863,-16.51802085306798,0.03307276382347958,0.609816971668262,,False,False,False,False,translation_rejected
kda03_v1_primary_negative_basis_impulse_continuation_timeout_6h,primary_negative_basis_impulse_continuation,primary,negative,basis_impulse_continuation,6,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_6h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,False,False,symmetric_directional,directional_PF_futures_not_spread_or_arbitrage,0fe79a92ad52532a25af065a55f4a7516d10486afe8f2e546e20927964cd0290,15808,11682,841,4613,6228,55,964,-6.531552969347385,-20.531552969347384,-38.53155296934739,-21.476061778946228,-16.12821389918112,-35.476061778946224,-30.12821389918112,-53.476061778946224,-48.12821389918112,-44.00356506268722,-26.93687523528455,0.03629940528217084,0.22410432230457986,,False,False,False,False,translation_rejected
kda03_v1_primary_negative_completed_basis_impulse_rejection_timeout_1h,primary_negative_completed_basis_impulse_rejection,primary,negative,completed_basis_impulse_rejection,1,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_1h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,False,False,mean_reversion,directional_PF_futures_not_spread_or_arbitrage,e9730c0a1aaa16b2374f1e1ad520e29f83dfe0df60f2fce7b70eda250b19635f,1964,1963,175,724,1064,49,692,5.123349728198104,-8.876650271801894,-26.8766502718019,0.9876005933041506,1.7774431292080788,-13.012399406695849,-12.222556870791921,-31.012399406695845,-30.22255687079192,-19.304116064628964,-6.697291345167594,0.02228952843563601,0.17674002797353,,False,False,False,False,translation_rejected
kda03_v1_primary_negative_completed_basis_impulse_rejection_timeout_6h,primary_negative_completed_basis_impulse_rejection,primary,negative,completed_basis_impulse_rejection,6,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_6h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,False,False,mean_reversion,directional_PF_futures_not_spread_or_arbitrage,37206fe3310dde3c8a2209fcd8eb2da6e21d86f4eab723ab77ac582b4c210470,1964,1839,166,680,993,49,691,22.735950059058815,8.735950059058817,-9.264049940941181,23.156976633029856,16.932297332639124,9.156976633029853,2.9322973326391235,-8.843023366970142,-15.067702667360876,-8.295262611564572,26.807700748065045,0.028333731067554213,0.10446508391616806,0.6485100396968401,False,False,False,False,sample_limited_prospective_candidate
kda03_v1_primary_negative_reference_led_catchup_timeout_1h,primary_negative_reference_led_catchup,primary,negative,reference_led_catchup,1,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_1h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,False,False,mean_reversion,directional_PF_futures_not_spread_or_arbitrage,a326c1e672c0de7fa5fd40b2d7d582b79fb37d0cb53dd55db86650fc7c7f078f,10044,10044,364,3687,5993,55,902,-0.6130743448644396,-14.613074344864438,-32.61307434486444,-1.9647765224759213,0.6970513814104808,-15.96477652247592,-13.302948618589518,-33.96477652247592,-31.302948618589518,-19.739329007127914,-12.621942421843022,0.0394930193510402,0.314782784918309,,False,False,False,False,translation_rejected
kda03_v1_primary_negative_reference_led_catchup_timeout_6h,primary_negative_reference_led_catchup,primary,negative,reference_led_catchup,6,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_6h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,False,False,mean_reversion,directional_PF_futures_not_spread_or_arbitrage,a06bcdddb07e73a442888d581aeea741f7ce13f614a3e75fc4a316f1600ad67e,10044,7923,324,2925,4674,55,900,-2.9849766202023957,-16.984976620202396,-34.984976620202396,-4.5524409162275195,-4.211527949432712,-18.55244091622752,-18.211527949432714,-36.55244091622752,-36.211527949432714,-27.48890081882865,-9.650446576601023,0.019396112245669152,0.29622968046336134,,False,False,False,False,translation_rejected
kda03_v1_primary_positive_basis_impulse_continuation_timeout_1h,primary_positive_basis_impulse_continuation,primary,positive,basis_impulse_continuation,1,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_1h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,False,False,symmetric_directional,directional_PF_futures_not_spread_or_arbitrage,a96b6f4013fc9675ead05160bd626faf9d166e5faf06bc5a428604c557405056,23649,23648,2322,10819,10507,54,990,-0.23935216799086334,-14.239352167990862,-32.239352167990866,-3.100316835705509,-2.1174995389014097,-17.100316835705506,-16.11749953890141,-35.10031683570551,-34.117499538901406,-19.639197908085833,-14.586782233919891,0.05693492908285457,0.7962753496632563,,False,False,False,False,translation_rejected
kda03_v1_primary_positive_basis_impulse_continuation_timeout_6h,primary_positive_basis_impulse_continuation,primary,positive,basis_impulse_continuation,6,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_6h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,False,False,symmetric_directional,directional_PF_futures_not_spread_or_arbitrage,7e2e3a2fb681901cee86d3b2562cd669598921f578b400884b7feaf9a28a8eef,23649,15830,1450,7052,7328,54,990,1.5946865881780445,-12.405313411821956,-30.405313411821954,-4.67105288298861,-6.087333004373722,-18.671052882988608,-20.087333004373722,-36.67105288298861,-38.08733300437372,-27.082196942128576,-10.258566330289266,0.021539209544418087,0.2211150072069754,,False,False,False,False,translation_rejected
kda03_v1_primary_positive_completed_basis_impulse_rejection_timeout_1h,primary_positive_completed_basis_impulse_rejection,primary,positive,completed_basis_impulse_rejection,1,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_1h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,False,False,mean_reversion,directional_PF_futures_not_spread_or_arbitrage,b9d8a4fd5b0a010b0143073b35def3753cea8c6b6aa8ec7d97d12f30b2b18dd5,2902,2898,302,1293,1303,50,806,0.8345087536481468,-13.165491246351852,-31.165491246351856,-0.8454287068148256,-0.26892566053797073,-14.845428706814824,-14.26892566053797,-32.84542870681482,-32.268925660537974,-19.85874666617326,-9.730367740504287,0.03412446413421238,0.29672553714791877,,False,False,False,False,translation_rejected
kda03_v1_primary_positive_completed_basis_impulse_rejection_timeout_6h,primary_positive_completed_basis_impulse_rejection,primary,positive,completed_basis_impulse_rejection,6,completed_parent_availability for A/B; completed basis+trade+mark rejection availability for C,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_6h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,False,False,mean_reversion,directional_PF_futures_not_spread_or_arbitrage,69f91c2fa5283ba2b9bba506e3d3b590edb224a4be3a8c0b37835ec4c0bd57e6,2902,2629,270,1153,1206,50,805,-5.050718780676343,-19.05071878067634,-37.05071878067634,-9.434937574190375,-14.600783831553166,-23.43493757419037,-28.600783831553166,-41.43493757419037,-46.600783831553166,-36.442016129143305,-10.61432095754131,0.026421176346733584,0.15500493943001423,,False,False,False,False,translation_rejected
