source_id,source_owner,source_type,URL,terms_or_license_URL,accessed_utc,HTTP_file_metadata,local_path,bytes,SHA256,covered_products,covered_dates,historical_versus_current_only,revision_version_behavior,observation_value_status,retention_status
sec_34_99306,SEC,regulator_approval_order,https://www.sec.gov/files/rules/sro/nysearca/2024/34-99306.pdf,https://www.sec.gov/about/privacy-information,2026-07-17T18:45:23Z,dated immutable SEC PDF; response headers archived,results/rebaseline/phase_c16_flow_authority_20260717_v1/raw/sec/sec_34_99306.pdf,319696,9dc12e834786e2cfe35da1366242c1ee65124842a57811b6c986380976b7146c,BTC products,2024-01-10,dated_historical,immutable release-number artifact,mechanics_and_product_scope_only; no daily flow values,retained_official_government_record
sec_34_100224,SEC,regulator_approval_order,https://www.sec.gov/files/rules/sro/nysearca/2024/34-100224.pdf,https://www.sec.gov/about/privacy-information,2026-07-17T18:45:23Z,dated immutable SEC PDF; response headers archived,results/rebaseline/phase_c16_flow_authority_20260717_v1/raw/sec/sec_34_100224.pdf,255694,99672aea9ab19a0805aac13e4290cab2bb6832c073bb5e71ece64b63967e2cb1,ETH products except ETH mini,2024-05-23,dated_historical,immutable release-number artifact,mechanics_and_product_scope_only; no daily flow values,retained_official_government_record
sec_34_100541,SEC,regulator_approval_order,https://www.sec.gov/files/rules/sro/nysearca/2024/34-100541.pdf,https://www.sec.gov/about/privacy-information,2026-07-17T18:45:23Z,dated immutable SEC PDF; response headers archived,results/rebaseline/phase_c16_flow_authority_20260717_v1/raw/sec/sec_34_100541.pdf,100933,0bcf7c420466cf38ea6458d011b01888e386c05ba9d78fad3cd57aa4a4f728b2,ETH mini and separate ProShares filing,2024-07-17,dated_historical,immutable release-number artifact,mechanics_and_product_scope_only; no daily flow values,retained_official_government_record
issuer_blackrock,BlackRock/iShares,official_issuer_current_surface_metadata_only,https://www.ishares.com/us/products/333011/ishares-bitcoin-trust-etf,https://www.ishares.com/us/products/333011/ishares-bitcoin-trust-etf,2026-07-17T18:45:23Z,body_not_opened; current or mixed observation surface,,0,,IBIT; ETHA,current_only_or_unproven_history,current_only_or_mixed,no dated snapshot/version authority established,rejected_before_observation_open,not_archived; terms and protected-payload scope not needed after rejection
issuer_fidelity,Fidelity,official_issuer_current_surface_metadata_only,https://www.fidelity.com/etfs/fbtc,https://www.fidelity.com/etfs/fbtc,2026-07-17T18:45:23Z,body_not_opened; current or mixed observation surface,,0,,FBTC; FETH,current_only_or_unproven_history,current_only_or_mixed,no dated snapshot/version authority established,rejected_before_observation_open,not_archived; terms and protected-payload scope not needed after rejection
issuer_grayscale,Grayscale,official_issuer_current_surface_metadata_only,https://etfs.grayscale.com/,https://etfs.grayscale.com/,2026-07-17T18:45:23Z,body_not_opened; current or mixed observation surface,,0,,GBTC; ETHE; ETH,current_only_or_unproven_history,current_only_or_mixed,no dated snapshot/version authority established,rejected_before_observation_open,not_archived; terms and protected-payload scope not needed after rejection
issuer_bitwise,Bitwise,official_issuer_current_surface_metadata_only,https://bitbetf.com/,https://bitbetf.com/,2026-07-17T18:45:23Z,body_not_opened; current or mixed observation surface,,0,,BITB; ETHW,current_only_or_unproven_history,current_only_or_mixed,no dated snapshot/version authority established,rejected_before_observation_open,not_archived; terms and protected-payload scope not needed after rejection
issuer_21shares,21Shares,official_issuer_current_surface_metadata_only,https://www.21shares.com/en-us,https://www.21shares.com/en-us,2026-07-17T18:45:23Z,body_not_opened; current or mixed observation surface,,0,,ARKB; CETH,current_only_or_unproven_history,current_only_or_mixed,no dated snapshot/version authority established,rejected_before_observation_open,not_archived; terms and protected-payload scope not needed after rejection
issuer_invesco,Invesco,official_issuer_current_surface_metadata_only,https://www.invesco.com/us/en/solutions/invesco-etfs.html,https://www.invesco.com/us/en/solutions/invesco-etfs.html,2026-07-17T18:45:23Z,body_not_opened; current or mixed observation surface,,0,,BTCO; QETH,current_only_or_unproven_history,current_only_or_mixed,no dated snapshot/version authority established,rejected_before_observation_open,not_archived; terms and protected-payload scope not needed after rejection
issuer_vaneck,VanEck,official_issuer_current_surface_metadata_only,https://www.vaneck.com/us/en/digital-assets/,https://www.vaneck.com/us/en/digital-assets/,2026-07-17T18:45:23Z,body_not_opened; current or mixed observation surface,,0,,HODL; ETHV,current_only_or_unproven_history,current_only_or_mixed,no dated snapshot/version authority established,rejected_before_observation_open,not_archived; terms and protected-payload scope not needed after rejection
