definition_id,branch_id,attempt,timeout_hours,decision,entry,exit,position,base_round_trip_bps,stress_round_trip_bps,funding,robustness_only,can_rescue_primary,source_definition_contract_hash,expected_entry_grid,maximum_entry_delay_minutes,exit_target,maximum_exit_delay_minutes,primary_inference_cluster,sensitivity_clusters,definition_contract_hash,candidate_count,accepted_count,price_rejection_count,trades_2023,trades_2024,trades_2025,symbols,market_day_clusters,win_rate,trade_gross_mean_bps,trade_gross_median_bps,trade_base_mean_bps,trade_base_median_bps,trade_stress_mean_bps,trade_stress_median_bps,equal_day_gross_mean_bps,equal_day_gross_median_bps,equal_day_base_mean_bps,equal_day_base_median_bps,equal_day_stress_mean_bps,equal_day_stress_median_bps,bootstrap_lower_bps,bootstrap_upper_bps,market_day_positive_share,symbol_positive_share,year_positive_share,gross_bps_q01,gross_bps_q05,gross_bps_q25,gross_bps_q50,gross_bps_q75,gross_bps_q95,gross_bps_q99,base_net_bps_q01,base_net_bps_q05,base_net_bps_q25,base_net_bps_q50,base_net_bps_q75,base_net_bps_q95,base_net_bps_q99,stress_net_bps_q01,stress_net_bps_q05,stress_net_bps_q25,stress_net_bps_q50,stress_net_bps_q75,stress_net_bps_q95,stress_net_bps_q99
kda01_v2_primary_negative_completed_failure_timeout_1h,primary_negative_completed_failure,primary,1,structural_failure_confirmation,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_1h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,False,False,5a04251f7b44ce34529500845758d41045e9d385b60d2c003867899bbe9ce825,first_5m_grid_timestamp_strictly_after_decision,10,actual_entry_ts_plus_frozen_timeout,10,market_day_cluster_id,parent_episode_id|market_6h_cluster_id,a355718de7dc2198ea4b4504a82b47121f85b828fed5d9f3ef05e071f4921c09,14536,13990,0,1058,2520,10412,93,867,0.39764117226590423,2.7203350074668964,-4.397991743460561,-11.279664992533103,-18.397991743460558,-29.279664992533103,-36.39799174346056,3.5181415887871377,-0.3739495041009846,-10.48185841121286,-14.373949504100986,-28.481858411212862,-32.373949504100985,-14.548791968188171,-6.382288930363773,0.06579050792900158,0.2877812781935486,,-321.2539291506976,-170.9101629502564,-57.69452486363458,-4.397991743460561,51.08881979642266,200.67759057869733,412.85141289988167,-335.2539291506976,-184.9101629502564,-71.69452486363457,-18.397991743460558,37.08881979642266,186.67759057869733,398.85141289988167,-353.2539291506976,-202.9101629502564,-89.69452486363457,-36.39799174346056,19.088819796422662,168.67759057869733,380.85141289988167
kda01_v2_primary_negative_completed_failure_timeout_6h,primary_negative_completed_failure,primary,6,structural_failure_confirmation,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_6h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,False,False,093ccd4f1ae843add879ef335b32b4b5d5c8a7346e912710d23bc665df38675d,first_5m_grid_timestamp_strictly_after_decision,10,actual_entry_ts_plus_frozen_timeout,10,market_day_cluster_id,parent_episode_id|market_6h_cluster_id,2b3ff24348dacd90dde82df1733177b56198a10816481eb33e65f5760a57a039,14536,11847,0,877,2152,8818,93,865,0.46374609605807376,10.15518775037718,-2.050230650948448,-3.8448122496228185,-16.05023065094845,-21.84481224962282,-34.05023065094845,10.470553690657468,3.349351973203074,-3.5294463093425295,-10.650648026796926,-21.52944630934253,-28.650648026796926,-14.183537415841089,7.266736347561456,0.03507606939331123,0.12483768640163438,1.0,-735.5913601446754,-410.78841463624946,-126.77733505415068,-2.050230650948448,132.19587042319512,454.55731464822134,936.5169657949458,-749.5913601446754,-424.78841463624946,-140.77733505415068,-16.05023065094845,118.19587042319513,440.55731464822134,922.5169657949458,-767.5913601446754,-442.78841463624946,-158.77733505415068,-34.05023065094845,100.19587042319513,422.55731464822134,904.5169657949458
kda01_v2_primary_negative_efficient_continuation_timeout_1h,primary_negative_efficient_continuation,primary,1,parent_onset,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_1h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,False,False,c6c9420dbc494138654e935220a2d32493792cb92b6398518993b8788f65c06a,first_5m_grid_timestamp_strictly_after_decision,10,actual_entry_ts_plus_frozen_timeout,10,market_day_cluster_id,parent_episode_id|market_6h_cluster_id,b517f81dcd99ea0560487562f24c247a337ee97117e29bc789fefae35270b5e5,7455,7455,0,632,1460,5363,95,813,0.3903420523138833,-6.583037572326421,-7.092198581561959,-20.58303757232642,-21.09219858156196,-38.583037572326425,-39.09219858156196,-18.257227123821202,-13.516557783284089,-32.257227123821195,-27.51655778328409,-50.257227123821195,-45.516557783284085,-39.54179687904389,-25.489025857425396,0.11459353304547128,0.37162162695960976,,-413.9160496147092,-225.76378921921324,-65.78528558377705,-7.092198581561959,51.19275646117971,206.67715491522347,380.6080025229315,-427.9160496147092,-239.76378921921324,-79.78528558377705,-21.09219858156196,37.19275646117971,192.67715491522347,366.6080025229315,-445.9160496147092,-257.7637892192132,-97.78528558377705,-39.09219858156196,19.192756461179712,174.67715491522347,348.6080025229315
kda01_v2_primary_negative_efficient_continuation_timeout_6h,primary_negative_efficient_continuation,primary,6,parent_onset,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_6h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,False,False,999ea7cdee6d4ba9cf1d3961e3ad16757c60c457c6e88686f8a1a782ecf73183,first_5m_grid_timestamp_strictly_after_decision,10,actual_entry_ts_plus_frozen_timeout,10,market_day_cluster_id,parent_episode_id|market_6h_cluster_id,1df5ae9bab651309302889ae039259e288de394b6f702893f9b696d58b967e8a,7455,6762,0,579,1330,4853,95,812,0.4466134279798876,-7.4448520994151055,-8.778222457146434,-21.444852099415108,-22.778222457146434,-39.4448520994151,-40.778222457146434,-42.39277367302946,-26.887805623803793,-56.39277367302946,-40.8878056238038,-74.39277367302945,-58.8878056238038,-69.43857993650825,-43.671625067372375,0.08626697063931692,0.1970053034385413,,-831.8638514239036,-435.85691424722074,-144.06043620143083,-8.778222457146434,119.99172089427051,445.9578141957579,887.4753993812421,-845.8638514239036,-449.85691424722074,-158.06043620143083,-22.778222457146434,105.99172089427051,431.9578141957579,873.4753993812421,-863.8638514239036,-467.85691424722074,-176.06043620143083,-40.778222457146434,87.99172089427051,413.9578141957579,855.4753993812421
kda01_v2_primary_positive_completed_failure_timeout_1h,primary_positive_completed_failure,primary,1,structural_failure_confirmation,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_1h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,False,False,147cded2b9402f4b8d6b2da1233eb62dec0916e382683d409a12e01f670f3e5e,first_5m_grid_timestamp_strictly_after_decision,10,actual_entry_ts_plus_frozen_timeout,10,market_day_cluster_id,parent_episode_id|market_6h_cluster_id,d018b79d8988a31a3f67b305f8776c1213fc640701f5ceb1eb486d5a871fc8d7,21511,20537,0,2128,7007,11402,93,877,0.4085796367531772,0.09517501011022632,-2.7178133250505,-13.904824989889775,-16.7178133250505,-31.904824989889775,-34.7178133250505,1.5287352339155638,-2.1336137479098043,-12.471264766084436,-16.133613747909806,-30.47126476608443,-34.133613747909806,-15.781374893249636,-9.207452446647904,0.04406040517471906,0.2400777696647629,,-352.92323178449857,-184.1710517819575,-57.447681575708565,-2.7178133250505,52.73202089192574,197.7254279295493,401.54777227557713,-366.92323178449857,-198.1710517819575,-71.44768157570857,-16.7178133250505,38.73202089192574,183.7254279295493,387.54777227557713,-384.92323178449857,-216.1710517819575,-89.44768157570857,-34.7178133250505,20.732020891925742,165.7254279295493,369.54777227557713
kda01_v2_primary_positive_completed_failure_timeout_6h,primary_positive_completed_failure,primary,6,structural_failure_confirmation,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_6h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,False,False,f7725f6188cb3c4bf952c2fc5c5643a953417cadcd909794224d0ba0cd66820b,first_5m_grid_timestamp_strictly_after_decision,10,actual_entry_ts_plus_frozen_timeout,10,market_day_cluster_id,parent_episode_id|market_6h_cluster_id,c27dfeca5814c54d5e6d704f1b088579b32dac5cbf1b1a9c84fd20f957acfc15,21511,16650,0,1708,5523,9419,93,877,0.46864864864864864,-2.088609396019392,0.0,-16.088609396019393,-14.0,-34.08860939601939,-32.0,4.060125377555961,-2.568572275021685,-9.939874622444039,-16.568572275021683,-27.939874622444037,-34.56857227502169,-19.391983918599927,-0.3673617238848819,0.030202318750226612,0.11405705976592331,,-849.1667207792206,-429.79216017267896,-133.49211770633363,-0.0,137.80664960332672,429.9530269305065,742.4897455379399,-863.1667207792206,-443.79216017267896,-147.49211770633363,-14.0,123.80664960332673,415.9530269305065,728.4897455379399,-881.1667207792206,-461.79216017267896,-165.49211770633363,-32.0,105.80664960332673,397.9530269305065,710.4897455379399
kda01_v2_primary_positive_efficient_continuation_timeout_1h,primary_positive_efficient_continuation,primary,1,parent_onset,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_1h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,False,False,d80d8723d770e6d58df0af68d6b7e614c9298ed86584e30ea86d1d95c16ddfa7,first_5m_grid_timestamp_strictly_after_decision,10,actual_entry_ts_plus_frozen_timeout,10,market_day_cluster_id,parent_episode_id|market_6h_cluster_id,9ae13f5c63c37885cb08bd88279833b27bc1fd0c656dfe60eecefde541e27b14,8729,8729,0,931,2712,5086,93,831,0.3805705120861496,0.4225194672356105,-5.461147833982771,-13.57748053276439,-19.46114783398277,-31.57748053276439,-37.46114783398277,-5.845197778300528,-8.033504370654196,-19.845197778300527,-22.033504370654196,-37.84519777830053,-40.0335043706542,-24.103226018697725,-15.613314634129921,0.05427427435628878,0.2197231786927512,,-340.3102102403934,-180.00499123275105,-59.5516113965433,-5.461147833982771,48.220436280137505,204.0105825386385,418.42696208514985,-354.3102102403934,-194.00499123275105,-73.55161139654331,-19.46114783398277,34.220436280137505,190.0105825386385,404.42696208514985,-372.3102102403934,-212.00499123275105,-91.55161139654331,-37.46114783398277,16.220436280137505,172.0105825386385,386.42696208514985
kda01_v2_primary_positive_efficient_continuation_timeout_6h,primary_positive_efficient_continuation,primary,6,parent_onset,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_6h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,False,False,fdd6482787ca8f812377c4f56e77fbccec98472558a9e65f27256a25e0bb35db,first_5m_grid_timestamp_strictly_after_decision,10,actual_entry_ts_plus_frozen_timeout,10,market_day_cluster_id,parent_episode_id|market_6h_cluster_id,6eadc5c268e75d31a62bf3be2ae405c7c5290fa93ec367065d87072940991952,8729,7810,0,823,2424,4563,93,831,0.447247119078105,1.8107291057130703,-8.553948832036307,-12.189270894286931,-22.553948832036305,-30.18927089428693,-40.553948832036305,-23.928753978823348,-20.567631158434384,-37.92875397882334,-34.56763115843438,-55.92875397882334,-52.56763115843438,-48.79945027969375,-27.217900639328292,0.03472221676141002,0.10403525853453369,1.0,-715.9913118225107,-419.91824455098697,-136.9673044933309,-8.553948832036307,117.70272283069372,460.87133678966666,910.4544040590785,-729.9913118225107,-433.91824455098697,-150.9673044933309,-22.553948832036305,103.70272283069372,446.87133678966666,896.4544040590785,-747.9913118225107,-451.91824455098697,-168.9673044933309,-40.553948832036305,85.70272283069372,428.87133678966666,878.4544040590785
kda01_v2_robustness_negative_completed_failure_timeout_1h,robustness_negative_completed_failure,robustness,1,structural_failure_confirmation,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_1h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,True,False,a7d4d9366e53a7ba49b38ede93b45ef3911872a256f462b00a8beac5d3f10401,first_5m_grid_timestamp_strictly_after_decision,10,actual_entry_ts_plus_frozen_timeout,10,market_day_cluster_id,parent_episode_id|market_6h_cluster_id,18bc609d423fe1013adc91ee0728c2d1238cc4b94c5199cc8011b0222a0946e5,14044,13575,0,947,2920,9708,93,884,0.40095764272559853,3.3832926465159487,-3.7773860488532485,-10.61670735348405,-17.77738604885325,-28.61670735348405,-35.777386048853245,1.6937814523396113,-1.5014478160892577,-12.306218547660388,-15.501447816089257,-30.30621854766039,-33.501447816089254,-16.353221382222973,-8.183501535774967,0.07077795081158214,0.24816541548075424,,-328.6473238332615,-173.92716730707704,-57.8561589316573,-3.7773860488532485,53.347924468143404,208.0540778839096,419.77659947581975,-342.6473238332615,-187.92716730707704,-71.85615893165729,-17.77738604885325,39.347924468143404,194.0540778839096,405.77659947581975,-360.6473238332615,-205.92716730707704,-89.85615893165729,-35.777386048853245,21.347924468143404,176.0540778839096,387.77659947581975
kda01_v2_robustness_negative_completed_failure_timeout_6h,robustness_negative_completed_failure,robustness,6,structural_failure_confirmation,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_6h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,True,False,ecbf9c20c6ae3075479343f969c3b568f73dadb79a7504bcbd9972162ab620d8,first_5m_grid_timestamp_strictly_after_decision,10,actual_entry_ts_plus_frozen_timeout,10,market_day_cluster_id,parent_episode_id|market_6h_cluster_id,40ca54bd577146cd22d9bebbf4c7bcb22ffe2175790a760d84b16dd9eb800220,14044,11533,0,789,2483,8261,93,881,0.4615451313621781,9.540618063548264,-2.9761904761904656,-4.459381936451737,-16.976190476190467,-22.459381936451738,-34.97619047619047,8.12121685918818,-1.1051483229762553,-5.87878314081182,-15.105148322976255,-23.87878314081182,-33.105148322976255,-17.01015344601617,5.366545617638313,0.03741027665300568,0.0941254007725397,1.0,-732.220143021649,-410.87585198040813,-131.36288998357946,-2.9761904761904656,131.43483023001056,457.66168829175024,941.7141254606021,-746.220143021649,-424.87585198040813,-145.36288998357946,-16.976190476190467,117.43483023001056,443.66168829175024,927.7141254606021,-764.220143021649,-442.87585198040813,-163.36288998357946,-34.97619047619047,99.43483023001056,425.66168829175024,909.7141254606021
