product_id,ticker,issuer,administrator_exchange,underlying_asset,spot_backed_or_other,inception_or_trading_start,termination_or_conversion,creation_redemption_method,shares_outstanding_field_source,underlying_holdings_field_source,NAV_AUM_field_source,reported_flow_field_source,publication_convention,revision_convention,source_ids,source_hashes,inclusion_status,inclusion_reason
BTC_GBTC,GBTC,Grayscale,NYSE Arca,BTC,spot_backed,2024-01-11,conversion,cash_at_initial_approval; later_product_state_not_individually_verified,official_current_surface_exists; versioned_2024_2025_history_not_located,official_current_surface_exists; versioned_2024_2025_history_not_located,official_current_or_periodic_disclosure; not_flow,none_located,daily_current_disclosure_claims_do_not_reconstruct_first_publication_timestamp,unversioned_or_unknown,sec_34_99306,9dc12e834786e2cfe35da1366242c1ee65124842a57811b6c986380976b7146c,excluded_no_first_published_daily_authority,primary_spot_product_but_daily_flow_creation_history_and_revision_timing_unavailable
BTC_BITB,BITB,Bitwise,NYSE Arca,BTC,spot_backed,2024-01-11,none_through_2025_known_from_scope,cash_at_initial_approval; later_product_state_not_individually_verified,official_current_surface_exists; versioned_2024_2025_history_not_located,official_current_surface_exists; versioned_2024_2025_history_not_located,official_current_or_periodic_disclosure; not_flow,none_located,daily_current_disclosure_claims_do_not_reconstruct_first_publication_timestamp,unversioned_or_unknown,sec_34_99306,9dc12e834786e2cfe35da1366242c1ee65124842a57811b6c986380976b7146c,excluded_no_first_published_daily_authority,primary_spot_product_but_daily_flow_creation_history_and_revision_timing_unavailable
BTC_DEFI,DEFI,Hashdex,NYSE Arca,BTC,spot_backed,2024-03-27,conversion,cash_at_initial_approval; later_product_state_not_individually_verified,official_current_surface_exists; versioned_2024_2025_history_not_located,official_current_surface_exists; versioned_2024_2025_history_not_located,official_current_or_periodic_disclosure; not_flow,none_located,daily_current_disclosure_claims_do_not_reconstruct_first_publication_timestamp,unversioned_or_unknown,sec_34_99306,9dc12e834786e2cfe35da1366242c1ee65124842a57811b6c986380976b7146c,excluded_no_first_published_daily_authority,primary_spot_product_but_daily_flow_creation_history_and_revision_timing_unavailable
BTC_IBIT,IBIT,BlackRock/iShares,Nasdaq,BTC,spot_backed,2024-01-11,none_through_2025_known_from_scope,cash_at_initial_approval; later_product_state_not_individually_verified,official_current_surface_exists; versioned_2024_2025_history_not_located,official_current_surface_exists; versioned_2024_2025_history_not_located,official_current_or_periodic_disclosure; not_flow,none_located,daily_current_disclosure_claims_do_not_reconstruct_first_publication_timestamp,unversioned_or_unknown,sec_34_99306,9dc12e834786e2cfe35da1366242c1ee65124842a57811b6c986380976b7146c,excluded_no_first_published_daily_authority,primary_spot_product_but_daily_flow_creation_history_and_revision_timing_unavailable
BTC_BRRR,BRRR,Valkyrie/CoinShares,Nasdaq,BTC,spot_backed,2024-01-11,none_through_2025_known_from_scope,cash_at_initial_approval; later_product_state_not_individually_verified,official_current_surface_exists; versioned_2024_2025_history_not_located,official_current_surface_exists; versioned_2024_2025_history_not_located,official_current_or_periodic_disclosure; not_flow,none_located,daily_current_disclosure_claims_do_not_reconstruct_first_publication_timestamp,unversioned_or_unknown,sec_34_99306,9dc12e834786e2cfe35da1366242c1ee65124842a57811b6c986380976b7146c,excluded_no_first_published_daily_authority,primary_spot_product_but_daily_flow_creation_history_and_revision_timing_unavailable
BTC_ARKB,ARKB,ARK/21Shares,Cboe BZX,BTC,spot_backed,2024-01-11,none_through_2025_known_from_scope,cash_at_initial_approval; later_product_state_not_individually_verified,official_current_surface_exists; versioned_2024_2025_history_not_located,official_current_surface_exists; versioned_2024_2025_history_not_located,official_current_or_periodic_disclosure; not_flow,none_located,daily_current_disclosure_claims_do_not_reconstruct_first_publication_timestamp,unversioned_or_unknown,sec_34_99306,9dc12e834786e2cfe35da1366242c1ee65124842a57811b6c986380976b7146c,excluded_no_first_published_daily_authority,primary_spot_product_but_daily_flow_creation_history_and_revision_timing_unavailable
BTC_BTCO,BTCO,Invesco/Galaxy,Cboe BZX,BTC,spot_backed,2024-01-11,none_through_2025_known_from_scope,cash_at_initial_approval; later_product_state_not_individually_verified,official_current_surface_exists; versioned_2024_2025_history_not_located,official_current_surface_exists; versioned_2024_2025_history_not_located,official_current_or_periodic_disclosure; not_flow,none_located,daily_current_disclosure_claims_do_not_reconstruct_first_publication_timestamp,unversioned_or_unknown,sec_34_99306,9dc12e834786e2cfe35da1366242c1ee65124842a57811b6c986380976b7146c,excluded_no_first_published_daily_authority,primary_spot_product_but_daily_flow_creation_history_and_revision_timing_unavailable
BTC_HODL,HODL,VanEck,Cboe BZX,BTC,spot_backed,2024-01-11,none_through_2025_known_from_scope,cash_at_initial_approval; later_product_state_not_individually_verified,official_current_surface_exists; versioned_2024_2025_history_not_located,official_current_surface_exists; versioned_2024_2025_history_not_located,official_current_or_periodic_disclosure; not_flow,none_located,daily_current_disclosure_claims_do_not_reconstruct_first_publication_timestamp,unversioned_or_unknown,sec_34_99306,9dc12e834786e2cfe35da1366242c1ee65124842a57811b6c986380976b7146c,excluded_no_first_published_daily_authority,primary_spot_product_but_daily_flow_creation_history_and_revision_timing_unavailable
BTC_BTCW,BTCW,WisdomTree,Cboe BZX,BTC,spot_backed,2024-01-11,none_through_2025_known_from_scope,cash_at_initial_approval; later_product_state_not_individually_verified,official_current_surface_exists; versioned_2024_2025_history_not_located,official_current_surface_exists; versioned_2024_2025_history_not_located,official_current_or_periodic_disclosure; not_flow,none_located,daily_current_disclosure_claims_do_not_reconstruct_first_publication_timestamp,unversioned_or_unknown,sec_34_99306,9dc12e834786e2cfe35da1366242c1ee65124842a57811b6c986380976b7146c,excluded_no_first_published_daily_authority,primary_spot_product_but_daily_flow_creation_history_and_revision_timing_unavailable
BTC_FBTC,FBTC,Fidelity,Cboe BZX,BTC,spot_backed,2024-01-11,none_through_2025_known_from_scope,cash_at_initial_approval; later_product_state_not_individually_verified,official_current_surface_exists; versioned_2024_2025_history_not_located,official_current_surface_exists; versioned_2024_2025_history_not_located,official_current_or_periodic_disclosure; not_flow,none_located,daily_current_disclosure_claims_do_not_reconstruct_first_publication_timestamp,unversioned_or_unknown,sec_34_99306,9dc12e834786e2cfe35da1366242c1ee65124842a57811b6c986380976b7146c,excluded_no_first_published_daily_authority,primary_spot_product_but_daily_flow_creation_history_and_revision_timing_unavailable
BTC_EZBC,EZBC,Franklin Templeton,Cboe BZX,BTC,spot_backed,2024-01-11,none_through_2025_known_from_scope,cash_at_initial_approval; later_product_state_not_individually_verified,official_current_surface_exists; versioned_2024_2025_history_not_located,official_current_surface_exists; versioned_2024_2025_history_not_located,official_current_or_periodic_disclosure; not_flow,none_located,daily_current_disclosure_claims_do_not_reconstruct_first_publication_timestamp,unversioned_or_unknown,sec_34_99306,9dc12e834786e2cfe35da1366242c1ee65124842a57811b6c986380976b7146c,excluded_no_first_published_daily_authority,primary_spot_product_but_daily_flow_creation_history_and_revision_timing_unavailable
