definition_id,branch_id,attempt,timeout_hours,decision,entry,exit,position,base_round_trip_bps,stress_round_trip_bps,funding,robustness_only,can_rescue_primary,source_definition_contract_hash,expected_entry_grid,maximum_entry_delay_minutes,exit_target,maximum_exit_delay_minutes,primary_inference_cluster,sensitivity_clusters,definition_contract_hash,candidate_count,accepted_count,price_rejection_count,trades_2023,trades_2024,trades_2025,symbols,market_day_clusters,win_rate,trade_gross_mean_bps,trade_gross_median_bps,trade_base_mean_bps,trade_base_median_bps,trade_stress_mean_bps,trade_stress_median_bps,equal_day_gross_mean_bps,equal_day_gross_median_bps,equal_day_base_mean_bps,equal_day_base_median_bps,equal_day_stress_mean_bps,equal_day_stress_median_bps,bootstrap_lower_bps,bootstrap_upper_bps,market_day_positive_share,symbol_positive_share,year_positive_share,gross_bps_q01,gross_bps_q05,gross_bps_q25,gross_bps_q50,gross_bps_q75,gross_bps_q95,gross_bps_q99,base_net_bps_q01,base_net_bps_q05,base_net_bps_q25,base_net_bps_q50,base_net_bps_q75,base_net_bps_q95,base_net_bps_q99,stress_net_bps_q01,stress_net_bps_q05,stress_net_bps_q25,stress_net_bps_q50,stress_net_bps_q75,stress_net_bps_q95,stress_net_bps_q99
kda01_v2_primary_negative_completed_failure_timeout_1h,primary_negative_completed_failure,primary,1,structural_failure_confirmation,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_1h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,False,False,5a04251f7b44ce34529500845758d41045e9d385b60d2c003867899bbe9ce825,first_5m_grid_timestamp_strictly_after_decision,10,actual_entry_ts_plus_frozen_timeout,10,market_day_cluster_id,parent_episode_id|market_6h_cluster_id,a355718de7dc2198ea4b4504a82b47121f85b828fed5d9f3ef05e071f4921c09,14536,13990,0,1058,2520,10412,93,867,0.39471050750536096,1.5251072165854251,-5.084544200698038,-12.474892783414576,-19.084544200698037,-30.474892783414575,-37.08454420069803,1.9926623780192783,-2.4775237329813207,-12.00733762198072,-16.47752373298132,-30.00733762198072,-34.477523732981325,-15.876599654572106,-8.192520554837339,0.06655679170850295,0.31879771243104515,,-313.7834456855206,-171.2778622587252,-57.751617598102435,-5.084544200698038,49.93623409935366,196.75302946148278,395.904004549376,-327.7834456855206,-185.2778622587252,-71.75161759810243,-19.084544200698037,35.93623409935366,182.75302946148278,381.904004549376,-345.7834456855206,-203.2778622587252,-89.75161759810243,-37.08454420069803,17.936234099353662,164.75302946148278,363.904004549376
kda01_v2_primary_negative_completed_failure_timeout_6h,primary_negative_completed_failure,primary,6,structural_failure_confirmation,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_6h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,False,False,093ccd4f1ae843add879ef335b32b4b5d5c8a7346e912710d23bc665df38675d,first_5m_grid_timestamp_strictly_after_decision,10,actual_entry_ts_plus_frozen_timeout,10,market_day_cluster_id,parent_episode_id|market_6h_cluster_id,2b3ff24348dacd90dde82df1733177b56198a10816481eb33e65f5760a57a039,14536,11847,0,877,2152,8818,93,865,0.4605385329619313,8.523720120632891,-3.0432136335967197,-5.476279879367107,-17.04321363359672,-23.476279879367105,-35.04321363359672,9.452414652326677,2.480504177153383,-4.547585347673324,-11.519495822846622,-22.547585347673323,-29.51949582284662,-15.293961283515927,6.380928873048048,0.03513063462131856,0.15153953638713447,1.0,-741.9663214342286,-410.2750949218104,-129.61632891071162,-3.0432136335967197,130.55289056785656,454.48524453293015,931.1723953491331,-755.9663214342286,-424.2750949218104,-143.61632891071162,-17.04321363359672,116.55289056785656,440.48524453293015,917.1723953491331,-773.9663214342286,-442.2750949218104,-161.61632891071162,-35.04321363359672,98.55289056785656,422.48524453293015,899.1723953491331
kda01_v2_primary_negative_efficient_continuation_timeout_1h,primary_negative_efficient_continuation,primary,1,parent_onset,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_1h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,False,False,c6c9420dbc494138654e935220a2d32493792cb92b6398518993b8788f65c06a,first_5m_grid_timestamp_strictly_after_decision,10,actual_entry_ts_plus_frozen_timeout,10,market_day_cluster_id,parent_episode_id|market_6h_cluster_id,b517f81dcd99ea0560487562f24c247a337ee97117e29bc789fefae35270b5e5,7455,7455,0,632,1460,5363,95,813,0.3843058350100604,-5.0347304700122875,-6.493506493505663,-19.03473047001229,-20.493506493505663,-37.034730470012285,-38.49350649350566,-14.701266029814038,-12.024310302082101,-28.70126602981404,-26.0243103020821,-46.70126602981403,-44.02431030208211,-34.8937660872227,-22.89748936404485,0.09628978122915094,0.27705707892633746,,-375.30506352869395,-213.3032863755215,-65.73345728345447,-6.493506493505663,49.55239556223012,204.04362938756117,395.53750187135057,-389.30506352869395,-227.3032863755215,-79.73345728345447,-20.493506493505663,35.55239556223012,190.04362938756117,381.53750187135057,-407.30506352869395,-245.3032863755215,-97.73345728345447,-38.49350649350566,17.55239556223012,172.04362938756117,363.53750187135057
kda01_v2_primary_negative_efficient_continuation_timeout_6h,primary_negative_efficient_continuation,primary,6,parent_onset,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_6h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,False,False,999ea7cdee6d4ba9cf1d3961e3ad16757c60c457c6e88686f8a1a782ecf73183,first_5m_grid_timestamp_strictly_after_decision,10,actual_entry_ts_plus_frozen_timeout,10,market_day_cluster_id,parent_episode_id|market_6h_cluster_id,1df5ae9bab651309302889ae039259e288de394b6f702893f9b696d58b967e8a,7455,6762,0,579,1330,4853,95,812,0.4472049689440994,-5.986231921702028,-9.009555794926571,-19.98623192170203,-23.00955579492657,-37.98623192170203,-41.00955579492657,-38.67544153416888,-25.535582639551574,-52.67544153416889,-39.53558263955158,-70.67544153416887,-57.53558263955158,-64.89100508958923,-40.67674854495346,0.07949465539904631,0.19361219165939905,,-832.5057204886853,-435.6995170006598,-141.40013226543124,-9.009555794926571,120.05397058575367,444.162479951773,863.539538558942,-846.5057204886853,-449.6995170006598,-155.40013226543124,-23.00955579492657,106.05397058575367,430.162479951773,849.539538558942,-864.5057204886853,-467.6995170006598,-173.40013226543124,-41.00955579492657,88.05397058575367,412.162479951773,831.539538558942
kda01_v2_primary_positive_completed_failure_timeout_1h,primary_positive_completed_failure,primary,1,structural_failure_confirmation,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_1h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,False,False,147cded2b9402f4b8d6b2da1233eb62dec0916e382683d409a12e01f670f3e5e,first_5m_grid_timestamp_strictly_after_decision,10,actual_entry_ts_plus_frozen_timeout,10,market_day_cluster_id,parent_episode_id|market_6h_cluster_id,d018b79d8988a31a3f67b305f8776c1213fc640701f5ceb1eb486d5a871fc8d7,21511,20537,0,2128,7007,11402,93,877,0.4077031698884939,-1.2862937010252704,-3.216468317785992,-15.28629370102527,-17.216468317785992,-33.28629370102527,-35.216468317785996,0.016864474915447455,-2.5394579091063867,-13.98313552508455,-16.53945790910639,-31.983135525084553,-34.53945790910639,-17.134795457332878,-10.881552041363863,0.05162733930915506,0.3185739859982833,,-353.841304729732,-186.6599843370369,-58.900523560210246,-3.216468317785992,51.99999999999982,194.34398372826197,369.18599456214935,-367.841304729732,-200.6599843370369,-72.90052356021025,-17.216468317785992,37.99999999999982,180.34398372826197,355.18599456214935,-385.841304729732,-218.6599843370369,-90.90052356021025,-35.216468317785996,19.999999999999822,162.34398372826197,337.18599456214935
kda01_v2_primary_positive_completed_failure_timeout_6h,primary_positive_completed_failure,primary,6,structural_failure_confirmation,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_6h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,False,False,f7725f6188cb3c4bf952c2fc5c5643a953417cadcd909794224d0ba0cd66820b,first_5m_grid_timestamp_strictly_after_decision,10,actual_entry_ts_plus_frozen_timeout,10,market_day_cluster_id,parent_episode_id|market_6h_cluster_id,c27dfeca5814c54d5e6d704f1b088579b32dac5cbf1b1a9c84fd20f957acfc15,21511,16650,0,1708,5523,9419,93,877,0.46564564564564564,-3.9166922800361235,-2.4127226127157453,-17.916692280036123,-16.412722612715747,-35.91669228003612,-34.41272261271575,2.6509038366810413,-4.273981283268725,-11.349096163318961,-18.273981283268725,-29.349096163318965,-36.273981283268725,-20.775491570397325,-1.8605170689989872,0.03097695841104866,0.16525817458811398,,-833.6144265043752,-430.2958747067396,-133.91248979871762,-2.4127226127157453,135.11467792854253,429.7744798740469,739.6455001709754,-847.6144265043752,-444.2958747067396,-147.91248979871762,-16.412722612715747,121.11467792854253,415.7744798740469,725.6455001709754,-865.6144265043752,-462.2958747067396,-165.91248979871762,-34.41272261271575,103.11467792854253,397.7744798740469,707.6455001709754
kda01_v2_primary_positive_efficient_continuation_timeout_1h,primary_positive_efficient_continuation,primary,1,parent_onset,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_1h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,False,False,d80d8723d770e6d58df0af68d6b7e614c9298ed86584e30ea86d1d95c16ddfa7,first_5m_grid_timestamp_strictly_after_decision,10,actual_entry_ts_plus_frozen_timeout,10,market_day_cluster_id,parent_episode_id|market_6h_cluster_id,9ae13f5c63c37885cb08bd88279833b27bc1fd0c656dfe60eecefde541e27b14,8729,8729,0,931,2712,5086,93,831,0.37896666284797803,-0.7200877377039702,-6.087947425110762,-14.720087737703969,-20.087947425110762,-32.72008773770398,-38.08794742511076,-6.218650282121371,-8.127316627805824,-20.218650282121374,-22.127316627805822,-38.218650282121374,-40.127316627805826,-24.065883246710637,-16.325791451627353,0.050721870547768694,0.2801053052085102,,-349.56056693154187,-181.2153775613494,-59.64214711729476,-6.087947425110762,47.37014047696775,199.36200672057817,403.0908798213888,-363.56056693154187,-195.2153775613494,-73.64214711729477,-20.087947425110762,33.37014047696775,185.36200672057817,389.0908798213888,-381.56056693154187,-213.2153775613494,-91.64214711729477,-38.08794742511076,15.370140476967748,167.36200672057817,371.0908798213888
kda01_v2_primary_positive_efficient_continuation_timeout_6h,primary_positive_efficient_continuation,primary,6,parent_onset,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_6h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,False,False,fdd6482787ca8f812377c4f56e77fbccec98472558a9e65f27256a25e0bb35db,first_5m_grid_timestamp_strictly_after_decision,10,actual_entry_ts_plus_frozen_timeout,10,market_day_cluster_id,parent_episode_id|market_6h_cluster_id,6eadc5c268e75d31a62bf3be2ae405c7c5290fa93ec367065d87072940991952,8729,7810,0,823,2424,4563,93,831,0.44366197183098594,0.9928223229422626,-8.251510450596466,-13.007177677057738,-22.251510450596466,-31.007177677057737,-40.25151045059647,-23.92844612907092,-18.54234624619866,-37.92844612907092,-32.54234624619866,-55.92844612907092,-50.54234624619866,-48.549015144823386,-27.208311927812527,0.037855953299133806,0.09501249097022506,1.0,-711.3438310782198,-419.45270742984593,-139.72958549040766,-8.251510450596466,115.38960634102258,447.82477986366183,947.3099622167142,-725.3438310782198,-433.45270742984593,-153.72958549040766,-22.251510450596466,101.38960634102258,433.82477986366183,933.3099622167142,-743.3438310782198,-451.45270742984593,-171.72958549040766,-40.25151045059647,83.38960634102258,415.82477986366183,915.3099622167142
kda01_v2_robustness_negative_completed_failure_timeout_1h,robustness_negative_completed_failure,robustness,1,structural_failure_confirmation,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_1h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,True,False,a7d4d9366e53a7ba49b38ede93b45ef3911872a256f462b00a8beac5d3f10401,first_5m_grid_timestamp_strictly_after_decision,10,actual_entry_ts_plus_frozen_timeout,10,market_day_cluster_id,parent_episode_id|market_6h_cluster_id,18bc609d423fe1013adc91ee0728c2d1238cc4b94c5199cc8011b0222a0946e5,14044,13575,0,947,2920,9708,93,884,0.39874769797421733,1.721363824062439,-4.196391103650221,-12.278636175937562,-18.19639110365022,-30.27863617593756,-36.19639110365022,-0.18750504588789438,-1.598690073021011,-14.187505045887894,-15.598690073021011,-32.187505045887896,-33.598690073021004,-18.17511903218588,-10.239940424229712,0.0771049570689805,0.301596228041712,,-316.6682822329704,-176.4083175803407,-58.70736120393683,-4.196391103650221,51.91185435464818,203.33516849543966,393.5891342255031,-330.6682822329704,-190.4083175803407,-72.70736120393683,-18.19639110365022,37.91185435464818,189.33516849543966,379.5891342255031,-348.6682822329704,-208.4083175803407,-90.70736120393683,-36.19639110365022,19.911854354648177,171.33516849543966,361.5891342255031
kda01_v2_robustness_negative_completed_failure_timeout_6h,robustness_negative_completed_failure,robustness,6,structural_failure_confirmation,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_6h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,True,False,ecbf9c20c6ae3075479343f969c3b568f73dadb79a7504bcbd9972162ab620d8,first_5m_grid_timestamp_strictly_after_decision,10,actual_entry_ts_plus_frozen_timeout,10,market_day_cluster_id,parent_episode_id|market_6h_cluster_id,40ca54bd577146cd22d9bebbf4c7bcb22ffe2175790a760d84b16dd9eb800220,14044,11533,0,789,2483,8261,93,881,0.4594641463626116,7.9958822790669695,-3.820585313669689,-6.0041177209330305,-17.82058531366969,-24.004117720933028,-35.82058531366969,7.227015577883053,-1.1417217862985651,-6.772984422116946,-15.141721786298564,-24.772984422116945,-33.14172178629856,-17.80837951500367,4.550993493694171,0.037441860274928795,0.10913964578712643,1.0,-738.3293536849535,-419.17558124644233,-133.43442001516382,-3.820585313669689,130.5553071626564,457.7232115464666,930.9068217903904,-752.3293536849535,-433.17558124644233,-147.43442001516382,-17.82058531366969,116.55530716265639,443.7232115464666,916.9068217903904,-770.3293536849535,-451.17558124644233,-165.43442001516382,-35.82058531366969,98.55530716265639,425.7232115464666,898.9068217903904
