dataset_id,dataset_or_field,source_authority,source_or_repo_path,resolution,rankable_coverage,symbol_scope,pit_lifecycle_status,exactness,evidence_support,protected_data_rule,known_gaps,allowed_research_use,recommended_action,last_verified_date
KRAKEN_DATA_001,Trade/last OHLCV,Official Kraken chart API and acquisition manifest,/opt/parquet/kraken_derivatives/parquet/historical_trade_candles_5m/,5m,2023-01-01 through 2025-12-31,"325 acquired instruments; 301 PF perpetuals",Bar timestamps are PIT but roster is not survivorship-free,Exact official bars for acquired roster,level_4_capped,Pre-2026 rows only for rankable work,"No trades, queue, spread, depth, aggressor, or partial-fill history",Price-path and event-ledger research with execution and lifecycle caps,Preserve immutable source hashes and add PIT lifecycle authority,2026-07-16
KRAKEN_DATA_002,Mark OHLCV,Official Kraken chart API and acquisition manifest,/opt/parquet/kraken_derivatives/parquet/historical_mark_candles_5m/,5m,2023-01-01 through 2025-12-31,"325 acquired instruments; 301 PF perpetuals",Same current-roster survivorship cap,Exact official bars for acquired roster,level_4_capped,Pre-2026 rows only for rankable work,No tick-level mark path between bars,Mark-aware path and conservative liquidation/execution checks,Preserve hashes and never substitute trade price for mark without disclosure,2026-07-16
KRAKEN_DATA_003,Exact funding,Official Kraken historical-funding-rates acquisition,/opt/parquet/kraken_derivatives/parquet/funding/,Publication rows,2025-06-26 08:00 through 2025-12-31 in rankable interval,305 source symbols,PIT timestamps for retained rows,Exact fundingRate and relativeFundingRate on available slice,level_4_exact_slice_only,Filter before rankable use and exclude 2026 rows,No exact 2023 through 2025-H1 archive,Outcome cost and funding-state work only on the exact slice,Partition exact/mixed/imputed and physically prefilter protected rows,2026-07-16
KRAKEN_DATA_004,Shared funding panel,Frozen repository model plus exact Kraken rows,results/rebaseline/phase_kraken_shared_funding_imputation_model_20260711_v1/funding/shared_funding_panel/,Hourly or funding boundaries,"Primarily 2024-2025 for required consumers",Consumer union,PIT as outcome-cost input only,"54,963 exact; 192,559 imputed; 247,522 total base-panel rows reported",level_4_capped,No protected outcomes or forward selection,Not a complete exchange funding archive; mixed partition is calendar-confounded,Outcome-cost modeling only; imputed rows cannot activate gates,Keep imputation out of signal and promotion evidence; reconcile temporal composition,2026-07-16
KRAKEN_DATA_005,Recent 1m trade and mark snapshots,Official Kraken chart API,/opt/parquet/kraken_derivatives/parquet/candles/ and /mark/,1m,2026-06-29 through 2026-06-30 only,325,Current snapshot,Exact protected snapshot,calibration_only,Protected data; no strategy selection,Too short and protected for historical inference,Parser and engineering calibration only,Keep outside rankable loaders,2026-07-16
KRAKEN_DATA_006,Historical index or spot price,None acquired,none,none,none,0,Missing,Missing,unsupported,No protected substitution,Mark-minus-trade is not index or basis,No rankable use,Acquire only through approved public PIT source or keep mechanism prospective,2026-07-16
KRAKEN_DATA_007,Historical open interest,Current ticker snapshot only,/opt/parquet/kraken_derivatives/parquet/tickers/,One current snapshot,none historically,327 current rows,Not historical PIT,Current exact only,unsupported_historically,Protected/current engineering only,No usable 2023-2025 OI series acquired,No historical OI mechanism claim,Repeat public analytics probe only under approved outcome-free acquisition plan,2026-07-16
KRAKEN_DATA_008,Historical basis or premium,Current mark/index ticker fields only,current ticker snapshot,One current snapshot,none historically,327 current rows,Not historical PIT,Current exact only,unsupported_historically,Protected/current engineering only,No historical index or basis panel acquired,No historical basis mechanism claim,Keep prospective unless a public PIT series is acquired,2026-07-16
KRAKEN_DATA_009,Historical liquidation or typed forced flow,Very short public-history sample,/opt/parquet/kraken_derivatives/parquet/events/,Event snapshot,none historically,Five queried symbols in reported snapshot,Protected/current only,Event types not established as a complete liquidation feed,unsupported_historically,Protected engineering and taxonomy only,"No 2023-2025 series, short retention, no lifecycle completeness",No historical forced-flow validation,Preserve raw labels and route economic studies to prospective capture,2026-07-16
KRAKEN_DATA_010,CVD or aggressor flow,None acquired,none,none,none,0,Missing,Missing,unsupported,No protected outcome derivation,Analytics probe incomplete and no local series,No rankable use,Do not claim unavailability until valid intervals are tested; otherwise remain prospective,2026-07-16
