spot_shift_minutes,exact_leadership_state,shifted_leadership_state,same_episode_and_direction,transition_category,event_count
-5,ambiguous,ambiguous,True,ambiguous_case,394
-5,ambiguous,missing,False,event_disappearance_or_episode_direction_change,82
-5,ambiguous,perp_led,True,ambiguous_case,61
-5,ambiguous,simultaneous,True,ambiguous_case,27
-5,ambiguous,spot_led,True,ambiguous_case,3
-5,perp_led,missing,False,event_disappearance_or_episode_direction_change,430
-5,perp_led,perp_led,True,unchanged,493
-5,perp_led,simultaneous,True,other_state_transition,1854
-5,perp_led,spot_led,True,genuine_leader_reversal,38
-5,simultaneous,ambiguous,True,ambiguous_case,49
-5,simultaneous,missing,False,event_disappearance_or_episode_direction_change,4530
-5,simultaneous,perp_led,True,other_state_transition,470
-5,simultaneous,simultaneous,True,unchanged,2
-5,simultaneous,spot_led,True,simultaneous_to_spot_led_under_minus5m,19754
-5,spot_led,ambiguous,True,ambiguous_case,132
-5,spot_led,missing,False,event_disappearance_or_episode_direction_change,1332
-5,spot_led,perp_led,True,genuine_leader_reversal,78
-5,spot_led,simultaneous,True,other_state_transition,25
-5,spot_led,spot_led,True,unchanged,2932
5,ambiguous,ambiguous,True,ambiguous_case,369
5,ambiguous,missing,False,event_disappearance_or_episode_direction_change,75
5,ambiguous,perp_led,True,ambiguous_case,1
5,ambiguous,simultaneous,True,ambiguous_case,23
5,ambiguous,spot_led,True,ambiguous_case,99
5,perp_led,ambiguous,True,ambiguous_case,55
5,perp_led,missing,False,event_disappearance_or_episode_direction_change,732
5,perp_led,perp_led,True,unchanged,1947
5,perp_led,simultaneous,True,other_state_transition,24
5,perp_led,spot_led,True,genuine_leader_reversal,57
5,simultaneous,ambiguous,True,ambiguous_case,59
5,simultaneous,missing,False,event_disappearance_or_episode_direction_change,4292
5,simultaneous,perp_led,True,simultaneous_to_perp_led_under_plus5m,19969
5,simultaneous,simultaneous,True,unchanged,3
5,simultaneous,spot_led,True,other_state_transition,482
5,spot_led,ambiguous,True,ambiguous_case,3
5,spot_led,missing,False,event_disappearance_or_episode_direction_change,493
5,spot_led,perp_led,True,genuine_leader_reversal,84
5,spot_led,simultaneous,True,other_state_transition,2975
5,spot_led,spot_led,True,unchanged,944
