score_bin,exit_class,n,pct_in_bin
"(0.00196, 0.0632]",SL,762,0.9349693251533743
"(0.00196, 0.0632]",TIME,41,0.05030674846625767
"(0.00196, 0.0632]",TP,12,0.014723926380368098
"(0.0632, 0.0968]",SL,723,0.8871165644171779
"(0.0632, 0.0968]",TIME,72,0.08834355828220859
"(0.0632, 0.0968]",TP,20,0.024539877300613498
"(0.0968, 0.131]",SL,677,0.8306748466257668
"(0.0968, 0.131]",TIME,91,0.1116564417177914
"(0.0968, 0.131]",TP,47,0.05766871165644172
"(0.131, 0.17]",SL,623,0.7644171779141105
"(0.131, 0.17]",TIME,127,0.1558282208588957
"(0.131, 0.17]",TP,65,0.07975460122699386
"(0.17, 0.211]",SL,577,0.7079754601226994
"(0.17, 0.211]",TIME,162,0.19877300613496932
"(0.17, 0.211]",TP,76,0.09325153374233129
"(0.211, 0.261]",SL,540,0.6633906633906634
"(0.211, 0.261]",TIME,172,0.2113022113022113
"(0.211, 0.261]",TP,102,0.12530712530712532
"(0.261, 0.323]",SL,508,0.6233128834355828
"(0.261, 0.323]",TIME,184,0.22576687116564417
"(0.261, 0.323]",TP,123,0.150920245398773
"(0.323, 0.396]",SL,451,0.5533742331288344
"(0.323, 0.396]",TIME,204,0.25030674846625767
"(0.323, 0.396]",TP,160,0.19631901840490798
"(0.396, 0.515]",SL,370,0.4539877300613497
"(0.396, 0.515]",TIME,213,0.26134969325153373
"(0.396, 0.515]",TP,232,0.2846625766871166
"(0.515, 0.945]",SL,257,0.31533742331288345
"(0.515, 0.945]",TIME,196,0.24049079754601227
"(0.515, 0.945]",TP,362,0.4441717791411043
