hypothesis_id,family,mechanism,direction,venue,historical_period,data_tier,current_status,evidence_level,tested_translation,authoritative_root,superseded_roots,event_count_if_known,mechanism_conclusion,preserved_component,same_sample_actions_forbidden,historically_testable_now,capture_required,protected_data_restriction,priority,next_action,source_provenance
H01,Sector / Lead-lag / Relative strength,continuation in the most liquid perp leaders after a high-volume directional break.,both.,Kraken-only for active translation; the source prior may contain legacy cross-venue or Bybit framing,active rankable period 2023-01-01 through 2025-12-31; source prior may span other dates,Tier 1.,legacy_library_prior; progress_with_current_data; source status=A1/liquid continuation preserved; current Bybit A1 weak but QLMG v2 registry positive/capped; Kraken K1 eligible,generator/support prior; level_4_event_ledger_plus_real_controls,A1/liquid continuation preserved; current Bybit A1 weak but QLMG v2 registry positive/capped; Kraken K1 eligible,not_authoritative; use current family registry and machine run records,,,crypto TSMOM and intraday momentum evidence. 4 | momentum crashes and regime dependence. 5,Liquid leader continuation,"Do not reopen a closed translation through renaming, nearby thresholds, broader bar-pattern search, or resampling of the same frozen tape without a pre-approved materially new mechanism.","partial_bar_screen_possible; PIT universe, lifecycle, costs, and signal-state gates still apply; source claim: high.",no.,"2026-01-01 onward is protected; July 2026 capture is execution-calibration only and may not select thresholds, rank families, or support historical performance claims",5,Run Kraken K1 A1 liquid continuation after K0; use strict Tier-1 controls,QLMG_Hypothesis_Library_2026-07-01(1).xlsx safe Hypothesis Library row 2; /mnt/data/RES2 Crypto Perpetual Futures Alpha Hypothesis Catalogue.pdf
H02,Liquid continuation / Momentum,classic trend signal with exposure scaled down when realized vol spikes.,both.,Kraken-only for active translation; the source prior may contain legacy cross-venue or Bybit framing,active rankable period 2023-01-01 through 2025-12-31; source prior may span other dates,Tier 1.,"legacy_library_prior; progress_with_current_data; source status=A4/TSMOM preserved; current translation failed, but family evidence strong; Kraken K1 eligible",generator/support prior; level_4_event_ledger_plus_real_controls,"A4/TSMOM preserved; current translation failed, but family evidence strong; Kraken K1 eligible",not_authoritative; use current family registry and machine run records,,,TSMOM and vol- managed momentum literature. 6 | crypto momentum tails are unstable and crash-prone. 7,Volatility-managed time-series momentum,"Do not reopen a closed translation through renaming, nearby thresholds, broader bar-pattern search, or resampling of the same frozen tape without a pre-approved materially new mechanism.","partial_bar_screen_possible; PIT universe, lifecycle, costs, and signal-state gates still apply; source claim: high.",no.,"2026-01-01 onward is protected; July 2026 capture is execution-calibration only and may not select thresholds, rank families, or support historical performance claims",5,"Redesign A4 on Kraken with slower horizons, vol scaling, funding/mark panels",QLMG_Hypothesis_Library_2026-07-01(1).xlsx safe Hypothesis Library row 3; /mnt/data/RES2 Crypto Perpetual Futures Alpha Hypothesis Catalogue.pdf
H03,Liquid continuation / Momentum,assets near prior ATH break more cleanly than “mid-range” assets because underwater supply is thinner and attention is concentrated.,long.,Kraken-only for active translation; the source prior may contain legacy cross-venue or Bybit framing,active rankable period 2023-01-01 through 2025-12-31; source prior may span other dates,Tier 1.,legacy_library_prior; feature_overlay_candidate; source status=A2 prior-high preserved as filter/overlay; standalone weak,generator/support prior; level_3_event_level_trade_ledger / level_4_controls if ranked,A2 prior-high preserved as filter/overlay; standalone weak,not_authoritative; use current family registry and machine run records,,,52-week-high literature and reference- point mechanism. 8 | direct crypto-specific ATH evidence is weaker than in equities. 9,All-time-high proximity continuation,"Do not reopen a closed translation through renaming, nearby thresholds, broader bar-pattern search, or resampling of the same frozen tape without a pre-approved materially new mechanism.","partial_bar_screen_possible; PIT universe, lifecycle, costs, and signal-state gates still apply; source claim: high.",no. 2,"2026-01-01 onward is protected; July 2026 capture is execution-calibration only and may not select thresholds, rank families, or support historical performance claims",4,"Use as filter for A1/A3/B1/C2, not standalone until redesigned",QLMG_Hypothesis_Library_2026-07-01(1).xlsx safe Hypothesis Library row 4; /mnt/data/RES2 Crypto Perpetual Futures Alpha Hypothesis Catalogue.pdf
H04,Liquid continuation / Momentum,reclaim of a major swing high after a long base triggers under-owned trend continuation.,long.,Kraken-only for active translation; the source prior may contain legacy cross-venue or Bybit framing,active rankable period 2023-01-01 through 2025-12-31; source prior may span other dates,Tier 1.,legacy_library_prior; feature_overlay_candidate; source status=A2/A1 variant; no clean standalone test yet,generator/support prior; level_3_event_level_trade_ledger / level_4_controls if ranked,A2/A1 variant; no clean standalone test yet,not_authoritative; use current family registry and machine run records,,,momentum plus reference-point evidence. 11 | long-horizon reversal can dominate if the move is already extended. 12,Prior-major-high reclaim continuation,"Do not reopen a closed translation through renaming, nearby thresholds, broader bar-pattern search, or resampling of the same frozen tape without a pre-approved materially new mechanism.","partial_bar_screen_possible; PIT universe, lifecycle, costs, and signal-state gates still apply; source claim: high.",no.,"2026-01-01 onward is protected; July 2026 capture is execution-calibration only and may not select thresholds, rank families, or support historical performance claims",3,Add to K1 prior-high/leader filter grid,QLMG_Hypothesis_Library_2026-07-01(1).xlsx safe Hypothesis Library row 5; /mnt/data/RES2 Crypto Perpetual Futures Alpha Hypothesis Catalogue.pdf
H05,Liquid continuation / Momentum,continuation after first controlled retest of a fresh breakout level.,both.,Kraken-only for active translation; the source prior may contain legacy cross-venue or Bybit framing,active rankable period 2023-01-01 through 2025-12-31; source prior may span other dates,Tier 1.,legacy_library_prior; rare_regime_sleeve_candidate; source status=A3 retest/reclaim preserved as rare-regime sleeve; not standalone validation,generator/support prior; level_3_event_level_trade_ledger / level_4_controls if ranked,A3 retest/reclaim preserved as rare-regime sleeve; not standalone validation,not_authoritative; use current family registry and machine run records,,,breakout and pullback continuation logic. 13 | false breakouts remain common in non-trending markets. 14 3,Post-breakout retest hold,"Do not reopen a closed translation through renaming, nearby thresholds, broader bar-pattern search, or resampling of the same frozen tape without a pre-approved materially new mechanism.","partial_bar_screen_possible; PIT universe, lifecycle, costs, and signal-state gates still apply; source claim: high.",no.,"2026-01-01 onward is protected; July 2026 capture is execution-calibration only and may not select thresholds, rank families, or support historical performance claims",5,Test as close-confirmed overlay in Kraken K1,QLMG_Hypothesis_Library_2026-07-01(1).xlsx safe Hypothesis Library row 6; /mnt/data/RES2 Crypto Perpetual Futures Alpha Hypothesis Catalogue.pdf
H06,Liquid continuation / Momentum,"volatility and range contract through several pullbacks, then expand in the trend direction.",both.,Kraken-only for active translation; the source prior may contain legacy cross-venue or Bybit framing,active rankable period 2023-01-01 through 2025-12-31; source prior may span other dates,Tier 1.,legacy_library_prior; portfolio_sleeve_candidate; source status=VCP/vol contraction is Tier-1 compatible and likely under-tested in liquid names,generator/support prior; level_3_event_level_trade_ledger / level_4_controls if ranked,VCP/vol contraction is Tier-1 compatible and likely under-tested in liquid names,not_authoritative; use current family registry and machine run records,,,"VCP and breakout practitioner literature. 15 | crypto small caps can compress because participation vanishes, not because supply is exhausted. 16",Volatility contraction breakout,"Do not reopen a closed translation through renaming, nearby thresholds, broader bar-pattern search, or resampling of the same frozen tape without a pre-approved materially new mechanism.","partial_bar_screen_possible; PIT universe, lifecycle, costs, and signal-state gates still apply; source claim: medium-high.",no.,"2026-01-01 onward is protected; July 2026 capture is execution-calibration only and may not select thresholds, rank families, or support historical performance claims",3,Include in A1/A4/A3 development library after K1 core,QLMG_Hypothesis_Library_2026-07-01(1).xlsx safe Hypothesis Library row 7; /mnt/data/RES2 Crypto Perpetual Futures Alpha Hypothesis Catalogue.pdf
H07,Sector / Lead-lag / Relative strength,only trade base breakouts in the relative-strength leader of a sector/theme basket.,long.,Kraken-only for active translation; the source prior may contain legacy cross-venue or Bybit framing,active rankable period 2023-01-01 through 2025-12-31; source prior may span other dates,Tier 1.,legacy_library_prior; candidate_library_only; source status=B1 leader-only sector continuation preserved; B1 broad ledger weak,generator/support prior; level_1_generator_support to level_3_event_ledger,B1 leader-only sector continuation preserved; B1 broad ledger weak,not_authoritative; use current family registry and machine run records,,,cross-crypto lead-lag and industry information effects. 18 | narrative sector definitions are unstable and can drift quickly. 19,"Leader base in sector leader, not laggard","Do not reopen a closed translation through renaming, nearby thresholds, broader bar-pattern search, or resampling of the same frozen tape without a pre-approved materially new mechanism.","partial_bar_screen_possible; PIT universe, lifecycle, costs, and signal-state gates still apply; source claim: low-medium.",no.,"2026-01-01 onward is protected; July 2026 capture is execution-calibration only and may not select thresholds, rank families, or support historical performance claims",3,Rebuild PIT/co-movement leader-only ledger,QLMG_Hypothesis_Library_2026-07-01(1).xlsx safe Hypothesis Library row 8; /mnt/data/RES2 Crypto Perpetual Futures Alpha Hypothesis Catalogue.pdf
H08,Liquid continuation / Momentum,short-side trap after a breakdown fails and price reclaims range support.,long.,Kraken-only for active translation; the source prior may contain legacy cross-venue or Bybit framing,active rankable period 2023-01-01 through 2025-12-31; source prior may span other dates,Tier 1.,legacy_library_prior; candidate_library_only; source status=Not yet directly tested under clean contracts; candidate-library hypothesis,generator/support prior; level_1_generator_support to level_3_event_ledger,Not yet directly tested under clean contracts; candidate-library hypothesis,not_authoritative; use current family registry and machine run records,,,intraday predictability and liquidation-cascade mechanics. 20 | reversal can fail badly during deleveraging continuations. 21,Failed breakdown squeeze reclaim,"Do not reopen a closed translation through renaming, nearby thresholds, broader bar-pattern search, or resampling of the same frozen tape without a pre-approved materially new mechanism.","partial_bar_screen_possible; PIT universe, lifecycle, costs, and signal-state gates still apply; source claim: medium-high.",optional.,"2026-01-01 onward is protected; July 2026 capture is execution-calibration only and may not select thresholds, rank families, or support historical performance claims",4,Classify through Kraken K1/data-tier readiness,QLMG_Hypothesis_Library_2026-07-01(1).xlsx safe Hypothesis Library row 9; /mnt/data/RES2 Crypto Perpetual Futures Alpha Hypothesis Catalogue.pdf
H09,Session / Calendar / Flow,close-in- top-decile days with volume expansion continue into the next active session.,both.,Kraken-only for active translation; the source prior may contain legacy cross-venue or Bybit framing,active rankable period 2023-01-01 through 2025-12-31; source prior may span other dates,Tier 1.,legacy_library_prior; candidate_library_only; source status=Not yet directly tested under clean contracts; candidate-library hypothesis,generator/support prior; level_1_generator_support to level_3_event_ledger,Not yet directly tested under clean contracts; candidate-library hypothesis,not_authoritative; use current family registry and machine run records,,,intraday continuation and seasonality. 22 | trend edges can flip around major policy and macro announcements. 23,Strong close trend-day continuation,"Do not reopen a closed translation through renaming, nearby thresholds, broader bar-pattern search, or resampling of the same frozen tape without a pre-approved materially new mechanism.","partial_bar_screen_possible; PIT universe, lifecycle, costs, and signal-state gates still apply; source claim: high.",no.,"2026-01-01 onward is protected; July 2026 capture is execution-calibration only and may not select thresholds, rank families, or support historical performance claims",3,Classify through Kraken K1/data-tier readiness,QLMG_Hypothesis_Library_2026-07-01(1).xlsx safe Hypothesis Library row 10; /mnt/data/RES2 Crypto Perpetual Futures Alpha Hypothesis Catalogue.pdf
H10,Liquidation / OI / Derivatives state,go long alts that break out in their USD perp and in their ALT/BTC relative series.,long.,Kraken-only for active translation; the source prior may contain legacy cross-venue or Bybit framing,active rankable period 2023-01-01 through 2025-12-31; source prior may span other dates,Tier 1.,legacy_library_prior; candidate_library_only; source status=Not yet directly tested under clean contracts; candidate-library hypothesis,generator/support prior; level_1_generator_support to level_3_event_ledger,Not yet directly tested under clean contracts; candidate-library hypothesis,not_authoritative; use current family registry and machine run records,,,cross-crypto predictability and BTC/ETH leadership papers. 24 | correlations spike in stress and crush idiosyncratic RS edges. 25,Relative-strength breakout versus BTC,"Do not reopen a closed translation through renaming, nearby thresholds, broader bar-pattern search, or resampling of the same frozen tape without a pre-approved materially new mechanism.","partial_bar_screen_possible; PIT universe, lifecycle, costs, and signal-state gates still apply; source claim: medium.",no.,"2026-01-01 onward is protected; July 2026 capture is execution-calibration only and may not select thresholds, rank families, or support historical performance claims",4,Classify through Kraken K1/data-tier readiness,QLMG_Hypothesis_Library_2026-07-01(1).xlsx safe Hypothesis Library row 11; /mnt/data/RES2 Crypto Perpetual Futures Alpha Hypothesis Catalogue.pdf
