capability_id,mechanism,requirement,status,verified_path_or_artifact,test_or_inspection,authority_level,protected_data_risk,same_sample_reuse_risk,blocking,smallest_remedy,permitted_next_action
REPO_001,repository,clean governed main and archive convention,ready,"AGENTS.md; docs/agent/REPOSITORY_MAP.md; commit 8cf3e227105fd7626445d27c8caf4c28bccc2ecb","git identity and governance validation",repository governance,low,low,false,none,archive-only readiness reporting
PKG_001,external review,release-ready package,blocked,results/rebaseline/phase_kraken_all_tested_hypotheses_external_review_package_20260716_v1/decision_summary.json,metadata-only status inspection,finalized package manifest,low,low,true,repair disclosed package protocol gaps,no release claim
FIREWALL_001,input boundary,pre-2023 files rejected before read,blocked,tools/run_kraken_family_engine_aggregate_first_sweep.py:4111,synthetic reader spy,machine code,high,low,true,pre-read file or row-group manifest gate,Stage_2A0_rankable_input_firewall_and_venue_partition
FIREWALL_002,input boundary,2026+ and mixed files rejected before read,blocked,tools/run_kraken_family_engine_aggregate_first_sweep.py:4076,synthetic mixed-file reader spy,machine code,critical,low,true,physical or row-group train partition,Stage_2A0_rankable_input_firewall_and_venue_partition
FIREWALL_003,venue boundary,non-Kraken rows rejected before rankable processing,blocked,tools/run_kraken_family_engine_aggregate_first_sweep.py:4111,synthetic conflicting venue tag,machine code,high,low,true,validated venue identity in source manifest,Stage_2A0_rankable_input_firewall_and_venue_partition
FIREWALL_004,funding boundary,funding partitioned before protected rows enter memory,blocked,tools/run_kraken_family_engine_aggregate_first_sweep.py:4094,synthetic funding reader spy,machine code,critical,low,true,prepartitioned funding manifest and reader,Stage_2A0_rankable_input_firewall_and_venue_partition
FIREWALL_005,capture boundary,capture excluded from rankable path discovery,partial,tools/run_kraken_family_engine_aggregate_first_sweep.py:3984,source inspection,machine code,critical,low,true,unified allowlisted input-root manifest,Stage_2A0_rankable_input_firewall_and_venue_partition
DOF_001,C01 multiplicity,complete attempt and effective-trial registry,not_reverified_after_gate,transferred authority and prior audit record,audit stopped at milestone 3,current authority,low,high,true,central immutable attempt registry,rerun readiness after firewall
EPISODE_001,cross-family identity,canonical tested episode ID,not_reverified_after_gate,transferred authority and prior audit record,audit stopped at milestone 3,current authority,low,high,true,canonical episode contract and fixtures,rerun readiness after firewall
U2_001,U2 universe,official continuous eligibility across intended interval,blocked,received/authority/05_REGISTRY_Kraken_Data_and_Evidence_Capability_2026-07-16.csv,authority metadata only,current authority,medium,low,true,outcome-free lifecycle authority task after firewall,no cohort claim
U2_002,U2 universe,candidate symbol eligibility inventory,not_evaluated,none,audit stopped at milestone 3,current task,medium,low,true,official lifecycle-backed inventory,no symbol selection
C01_001,C01,causal BTC residual feature,not_reverified_after_gate,existing H43 code is only a nearby prior,audit stopped at milestone 3,current task,high,high,true,fixture-verified C01-specific causal feature contract,rerun readiness after firewall
C01_002,C01,causal BTC plus ETH residual feature,not_reverified_after_gate,none,audit stopped at milestone 3,current task,high,high,true,frozen multivariate residual fixture,rerun readiness after firewall
C01_003,C01,fixed rolling estimation window support,not_reverified_after_gate,existing rolling-feature code paths,audit stopped at milestone 3,current task,medium,high,true,causal boundary fixtures,rerun readiness after firewall
C01_004,C01,path-efficiency measure,not_reverified_after_gate,existing A1 path-smoothness is same-sample prior only,audit stopped at milestone 3,current task,medium,high,true,new registered generic feature contract,rerun readiness after firewall
C01_005,C01,jump or largest-bar contribution measure,not_reverified_after_gate,none,audit stopped at milestone 3,current task,medium,high,true,causal largest-bar fixture,rerun readiness after firewall
C01_006,C01,parent-market state,not_reverified_after_gate,tools/qlmg_regime_stack.py,audit stopped at milestone 3,machine code,medium,high,true,PIT fixture under new input firewall,rerun readiness after firewall
C01_007,C01,realized-volatility state,not_reverified_after_gate,existing family feature code,audit stopped at milestone 3,machine code,medium,high,true,shared causal volatility fixture,rerun readiness after firewall
C01_008,C01,causal feature hashing,not_reverified_after_gate,tools/qlmg_evidence_contracts.py,audit stopped at milestone 3,machine code,low,medium,true,feature-contract hash fixture,rerun readiness after firewall
C01_009,C01,candidate identity freeze,not_reverified_after_gate,tools/qlmg_evidence_contracts.py,audit stopped at milestone 3,machine code,low,medium,true,C01 identity fixture,rerun readiness after firewall
C01_010,C01,canonical episode identity,not_reverified_after_gate,none,audit stopped at milestone 3,current task,low,high,true,cross-family episode contract,rerun readiness after firewall
C01_011,C01,control-generation harness,not_reverified_after_gate,tools/qlmg_real_controls.py,audit stopped at milestone 3,machine code,medium,high,true,C01-specific pre-outcome control fixture,rerun readiness after firewall
C01_012,C01,attempt and multiplicity registration,not_reverified_after_gate,none,audit stopped at milestone 3,current task,low,high,true,central immutable C01 trial record,rerun readiness after firewall
C01_013,C01,year symbol sign and path candidate counts without returns,not_reverified_after_gate,existing reporting utilities,audit stopped at milestone 3,machine code,low,medium,true,count-only fixture,rerun readiness after firewall
C01_014,C01,trade and mark separation,not_reverified_after_gate,tools/run_kraken_family_engine_aggregate_first_sweep.py:4111,audit stopped at milestone 3,machine code,high,medium,true,reverify under input firewall,rerun readiness after firewall
