family_id,attempt_id,alignment_shift_minutes,leadership_lookback_minutes,direction,state,attempt_role,registered_before_generation,event_count,retention_status
C02_spot_led_vs_perp_led_impulse,c02attempt_d54443cb8fb4a97c3399,-5,15,positive,spot_led_continuation,robustness_or_sensitivity,True,12351,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_d90d2e478a98da18d0f8,-5,15,positive,simultaneous_impulse,robustness_or_sensitivity,True,1027,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_a493b6fa237ea093388e,-5,15,positive,perp_led_continuation,robustness_or_sensitivity,True,627,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_ffbcb97e48e464084479,-5,15,positive,perp_led_completed_failure,robustness_or_sensitivity,True,0,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_8e70947706964999a830,-5,15,positive,ambiguous_diagnostic,robustness_or_sensitivity,True,315,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_49e99898681870d51fdb,-5,15,negative,spot_led_continuation,robustness_or_sensitivity,True,11680,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_ecc898df1e72966052c8,-5,15,negative,simultaneous_impulse,robustness_or_sensitivity,True,997,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_a8295d4e350f62b4478c,-5,15,negative,perp_led_continuation,robustness_or_sensitivity,True,688,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_f9c210b6ba004a59c31d,-5,15,negative,perp_led_completed_failure,robustness_or_sensitivity,True,0,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_f895eba77ed55b8ffbf6,-5,15,negative,ambiguous_diagnostic,robustness_or_sensitivity,True,316,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_76579b0d201b51283726,-5,30,positive,spot_led_continuation,robustness_or_sensitivity,True,12247,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_8ea314cbac7b1872af7d,-5,30,positive,simultaneous_impulse,robustness_or_sensitivity,True,917,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_3fc8ccbba777fd82df82,-5,30,positive,perp_led_continuation,robustness_or_sensitivity,True,1150,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_6643a69287b412b288b8,-5,30,positive,perp_led_completed_failure,robustness_or_sensitivity,True,0,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_2afce1ffc69e02b3d1de,-5,30,positive,ambiguous_diagnostic,robustness_or_sensitivity,True,6,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_fc8fea0852b774175b63,-5,30,negative,spot_led_continuation,robustness_or_sensitivity,True,11538,retained
