definition_id,branch_id,attempt,timeout_hours,decision,entry,exit,position,base_round_trip_bps,stress_round_trip_bps,funding,robustness_only,can_rescue_primary,definition_contract_hash
kda01_v2_primary_positive_efficient_continuation_timeout_1h,primary_positive_efficient_continuation,primary,1,parent_onset,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_1h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,False,False,d80d8723d770e6d58df0af68d6b7e614c9298ed86584e30ea86d1d95c16ddfa7
kda01_v2_primary_positive_efficient_continuation_timeout_6h,primary_positive_efficient_continuation,primary,6,parent_onset,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_6h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,False,False,fdd6482787ca8f812377c4f56e77fbccec98472558a9e65f27256a25e0bb35db
kda01_v2_robustness_positive_efficient_continuation_timeout_1h,robustness_positive_efficient_continuation,robustness,1,parent_onset,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_1h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,True,False,dc6cad263a57e3be88263141207a66d100bdf6cc7bfa7d7cc9487f968ad4592d
kda01_v2_robustness_positive_efficient_continuation_timeout_6h,robustness_positive_efficient_continuation,robustness,6,parent_onset,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_6h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,True,False,e65f9440f092b9f60b78ce1121ab28ac5d58a5888aec480e61599b99f59e2d5b
kda01_v2_primary_negative_efficient_continuation_timeout_1h,primary_negative_efficient_continuation,primary,1,parent_onset,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_1h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,False,False,c6c9420dbc494138654e935220a2d32493792cb92b6398518993b8788f65c06a
kda01_v2_primary_negative_efficient_continuation_timeout_6h,primary_negative_efficient_continuation,primary,6,parent_onset,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_6h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,False,False,999ea7cdee6d4ba9cf1d3961e3ad16757c60c457c6e88686f8a1a782ecf73183
kda01_v2_robustness_negative_efficient_continuation_timeout_1h,robustness_negative_efficient_continuation,robustness,1,parent_onset,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_1h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,True,False,98c191accbd53868666e28fcad23e2d0605380adbce31e27d2d87d063bf7b0aa
kda01_v2_robustness_negative_efficient_continuation_timeout_6h,robustness_negative_efficient_continuation,robustness,6,parent_onset,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_6h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,True,False,ed36cc7a3f6e6fa26313196a86014c884b2ab2690e941b33a7b34f03a35a239c
kda01_v2_primary_positive_completed_failure_timeout_1h,primary_positive_completed_failure,primary,1,structural_failure_confirmation,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_1h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,False,False,147cded2b9402f4b8d6b2da1233eb62dec0916e382683d409a12e01f670f3e5e
kda01_v2_primary_positive_completed_failure_timeout_6h,primary_positive_completed_failure,primary,6,structural_failure_confirmation,first_executable_PF_5m_trade_open_strictly_after_decision,first_executable_trade_open_at_or_after_entry_plus_6h,fixed_notional,14,32,separate_exact_mixed_imputed_zero_excluded_from_level3_gates,False,False,f7725f6188cb3c4bf952c2fc5c5643a953417cadcd909794224d0ba0cd66820b
